article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end
23220037,dox,1358,1361,100,23220037,dox,100,1358,1361
23186588,pge 2,1571,1576,91,23186588,pge 2 ,91,1571,1577
22878908,tzds,20,24,100,22878908,tzds,100,20,24
23223802,silver,530,536,100,23223802,silver,100,530,536
23246797,polyethylene glycol,904,923,100,23246797,polyethylene glycol,100,904,923
23111881,taa 300,317,324,60,23111881,taa,60,317,320
23143415,nife,466,470,100,23143415,nife,100,466,470
23111886,bilirubin,902,911,100,23111886,bilirubin,100,902,911
22591127,α linolenic,779,790,100,22591127,α linolenic,100,779,790
23172734,nc 60,556,561,91,23172734,nc 60 ,91,556,562
23020786,nabumetone,693,703,100,23020786,nabumetone,100,693,703
23123664,methionine,547,557,100,23123664,methionine,100,547,557
23201927,ato,1159,1162,100,23201927,ato,100,1159,1162
23190297,bp 3,1147,1151,100,23190297,bp 3,100,1147,1151
23256625,gsk1292263,247,257,100,23256625,gsk1292263,100,247,257
22849377,i na,1158,1162,67,22849377,na,67,1160,1162
23183177,functional,26,36,14,23183177,17β hydroxysteroid,14,22,40
23085331,tlm,863,866,100,23085331,tlm,100,863,866
23108606,binaphthol,833,843,100,23108606,binaphthol,100,833,843
23166012,sdbs,548,552,100,23166012,sdbs,100,548,552
23017392,phenolics,850,859,100,23017392,phenolics,100,850,859
23219683,fe,1087,1089,100,23219683,fe,100,1087,1089
23220290,bile salts,1305,1315,100,23220290,bile salts,100,1305,1315
22788802,h,1319,1320,100,22788802,h,100,1319,1320
22564442,gaba,1318,1322,100,22564442,gaba,100,1318,1322
23152189,tcdd,89,93,100,23152189,tcdd,100,89,93
23178950,dtxl,770,774,100,23178950,dtxl,100,770,774
22998221,span20,333,339,100,22998221,span20,100,333,339
23122151,kaempferol,687,697,100,23122151,kaempferol,100,687,697
23210742,cis aca,1387,1394,100,23210742,cis aca,100,1387,1394
22876943,flavonoids,129,139,100,22876943,flavonoids,100,129,139
23246469,dppg 2 tsl,601,612,82,23246469,dppg 2 ,82,601,608
23073075,fty720,827,833,100,23073075,fty720,100,827,833
23246481,wogonin,769,776,100,23246481,wogonin,100,769,776
23190093,poly ethylene glycol ,34,55,100,23190093,poly ethylene glycol ,100,34,55
23212107,warfarin,447,455,100,23212107,warfarin,100,447,455
23244162,poly acrylic acid ,42,60,100,23244162,poly acrylic acid ,100,42,60
23059508,al,10,12,100,23059508,al,100,10,12
23135549,cd,1198,1200,100,23135549,cd,100,1198,1200
23234434,pd acetate,1130,1140,100,23234434,pd acetate,100,1130,1140
22982479,fluoxetine,1340,1350,100,22982479,fluoxetine,100,1340,1350
22722027,tcb 2,839,844,100,22722027,tcb 2,100,839,844
23164616,ethanol,216,223,100,23164616,ethanol,100,216,223
23055540,ino 8875,903,911,100,23055540,ino 8875,100,903,911
22884111,zno,151,154,100,22884111,zno,100,151,154
23232079,citalopram,1096,1106,100,23232079,citalopram,100,1096,1106
23136062,zn ii ,862,868,100,23136062,zn ii ,100,862,868
23238784,dmso,240,244,100,23238784,dmso,100,240,244
23219324,metachromins l q,426,442,100,23219324,metachromins l q,100,426,442
23086182,dichlorodiphenyldichloroethane,977,1007,100,23086182,dichlorodiphenyldichloroethane,100,977,1007
23174340,bms 763534,999,1009,100,23174340,bms 763534,100,999,1009
23178950,doxorubicin,102,113,100,23178950,doxorubicin,100,102,113
23231420,styrene,446,453,100,23231420,styrene,100,446,453
