Model,Article Count,Article ID,Entity,Start,End
en_core_sci_sm,1000,22732440,alzheimer s disease,154,173
en_core_sci_sm,1000,23208822,polyhydroxy caprolactam,23,46
en_core_sci_sm,1000,22429027,3 o β d glucopyranosyl 1 6 β d glucopyranosyl 1 2 β d glucopyranosyl,188,262
en_core_sci_sm,1000,22591175,solubility,869,879
en_core_sci_sm,1000,22961093,in vitro methods,448,464
en_core_sci_sm,1000,23163337,iron metabolism,1238,1253
en_core_sci_sm,1000,23187618,small silanes,865,878
en_core_sci_sm,1000,23142635,drugs,406,411
en_core_sci_sm,1000,23252799,conventional,1019,1031
en_core_sci_sm,1000,23053666,reduced,1358,1365
en_core_sci_sm,1000,23127600,doses,818,823
en_core_sci_sm,1000,23199223,dephasing,554,563
en_core_sci_sm,1000,23154533,woman,486,491
en_core_sci_sm,1000,23179349,serum,874,879
en_core_sci_sm,1000,22426233,positive,1054,1062
en_core_sci_sm,1000,22690834,kidneys,1245,1252
en_core_sci_sm,1000,23076740,obesity,411,418
en_core_sci_sm,1000,23110812,assay,2414,2419
en_core_sci_sm,1000,23125284,reduced,735,742
en_core_sci_sm,1000,23205634,transport activity,419,437
en_core_sci_sm,1000,23246469,phase transition temperature,960,988
en_core_sci_sm,1000,23219683,exposure,785,793
en_core_sci_sm,1000,23246797,pxrd,1117,1121
en_core_sci_sm,1000,23254197,mice,1580,1584
en_core_sci_sm,1000,22665065,tumor suppressor,4,20
en_core_sci_sm,1000,23215039,primary macrophages,830,849
en_core_sci_sm,1000,23150999,criticisms,1700,1710
en_core_sci_sm,1000,22564440,prs,1664,1667
en_core_sci_sm,1000,23212109,patients,856,864
en_core_sci_sm,1000,23111876,selective adenosine a 2a receptor antagonist,382,427
en_core_sci_sm,1000,23143037,non target,197,207
en_core_sci_sm,1000,23220340,chain flexibility,783,800
en_core_sci_sm,1000,23065141,differential effects,2007,2027
en_core_sci_sm,1000,23210738,helical,930,937
en_core_sci_sm,1000,23200888,dose dependent,848,862
en_core_sci_sm,1000,23256531,ctab,1974,1978
en_core_sci_sm,1000,23256531,crystals,1494,1502
en_core_sci_sm,1000,22381584,blocked,1161,1168
en_core_sci_sm,1000,23040268,c terminal lysines,852,870
en_core_sci_sm,1000,22493952,maprounea africana,1211,1229
en_core_sci_sm,1000,22646532,insulin therapy,1394,1409
en_core_sci_sm,1000,23086747,organic,1586,1593
en_core_sci_sm,1000,23219683,pnw3,748,752
en_core_sci_sm,1000,22876784,auc t,880,885
en_core_sci_sm,1000,22410775,prostate cancer,142,157
en_core_sci_sm,1000,23201371,cd1 mice,476,484
en_core_sci_sm,1000,22847135,naringin,1215,1223
en_core_sci_sm,1000,22401710,period,293,299
en_core_sci_sm,1000,23048186,mc4r,121,125
en_core_sci_sm,1000,22348951,hypoxia,1841,1848
en_core_sci_sm,1000,23122161,rosemary,396,404
en_core_sci_sm,1000,23122076,activity,1184,1192
en_core_sci_sm,1000,21933113,intestinal absorption,1342,1363
en_core_sci_sm,1000,22732147,melamine,365,373
en_core_sci_sm,1000,23066870,studies,935,942
en_core_sci_sm,1000,23225753,n glycans,413,422
en_core_sci_sm,1000,22992376,caffeine,353,361
en_core_sci_sm,1000,23247722,spectra,69,76
en_core_sci_sm,1000,23010670,low melting,307,318
en_core_sci_sm,1000,23122121,ursolic,806,813
en_core_sci_sm,1000,23157625,protein acetylation,1260,1279
en_core_sci_sm,1000,22910795,concentrations,106,120
en_core_sci_sm,1000,23166012,dunaliella bardawil,271,290
en_core_sci_sm,1000,23256440,hot,592,595
en_core_sci_sm,1000,23110812,gapdh,2884,2889
en_core_sci_sm,1000,22871218,acetonitrile,312,324
en_core_sci_sm,1000,23194537,model,1036,1041
en_core_sci_sm,1000,22981796,inhalation,1072,1082
en_core_sci_sm,1000,22511286,polyphenols,217,228
en_core_sci_sm,1000,22864625,area of,1291,1298
en_core_sci_sm,1000,23238103,investigated,240,252
en_core_sci_sm,1000,21933113,in silico,487,496
en_core_sci_sm,1000,22864625,covalent,1184,1192
en_core_sci_sm,1000,22718571,metabolite,184,194
en_core_sci_sm,1000,22987483,dna lesions,142,153
en_core_sci_sm,1000,23165154,months,601,607
en_core_sci_sm,1000,23041042,capacity,171,179
en_core_sci_sm,1000,22951949,apoptosis,815,824
en_core_sci_sm,1000,23220037,protective effects,1056,1074
en_core_sci_sm,1000,22968082,antagonists,304,315
