article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23208822,polyhydroxy caprolactam,23,46,88,23208822,polyhydroxy caprolactam amide,88,23,52,en_core_sci_sm,1000
23187618,small silanes,865,878,67,23187618,silanes ,67,871,879,en_core_sci_sm,1000
23219683,exposure,785,793,20,23219683,pb,20,782,784,en_core_sci_sm,1000
23256531,ctab,1974,1978,100,23256531,ctab,100,1974,1978,en_core_sci_sm,1000
23256531,crystals,1494,1502,15,23256531,c 60 ,15,1488,1493,en_core_sci_sm,1000
22847135,naringin,1215,1223,100,22847135,naringin,100,1215,1223,en_core_sci_sm,1000
22732147,melamine,365,373,100,22732147,melamine,100,365,373,en_core_sci_sm,1000
22992376,caffeine,353,361,100,22992376,caffeine,100,353,361,en_core_sci_sm,1000
23122121,ursolic,806,813,100,23122121,ursolic,100,806,813,en_core_sci_sm,1000
22511286,polyphenols,217,228,100,22511286,polyphenols,100,217,228,en_core_sci_sm,1000
23197773,am411,1539,1544,100,23197773,am411,100,1539,1544,en_core_sci_sm,1000
23249624,dabrafenib,338,348,100,23249624,dabrafenib,100,338,348,en_core_sci_sm,1000
23146755,u73122,998,1004,100,23146755,u73122,100,998,1004,en_core_sci_sm,1000
23192785,aldol reaction,315,329,53,23192785,aldol,53,315,320,en_core_sci_sm,1000
23197647,sensitivity,48,59,30,23197647,etoposide,30,47,56,en_core_sci_sm,1000
23246469,cas,269,272,20,23246469,gd dtpa,20,274,281,en_core_sci_sm,1000
23150493,free fatty acid,792,807,80,23150493,fatty acid,80,797,807,en_core_sci_sm,1000
23253427,hydrogen tetrafluoroborate,647,673,100,23253427,hydrogen tetrafluoroborate,100,647,673,en_core_sci_sm,1000
23143912,zeolite,442,449,100,23143912,zeolite,100,442,449,en_core_sci_sm,1000
23202442, 13 c,983,988,100,23202442, 13 c,100,983,988,en_core_sci_sm,1000
22830954,clopidogrel,631,642,100,22830954,clopidogrel,100,631,642,en_core_sci_sm,1000
22456000,diphysidione,0,12,100,22456000,diphysidione,100,0,12,en_core_sci_sm,1000
23253427,co,730,732,100,23253427,co,100,730,732,en_core_sci_sm,1000
23152189,tcdd,687,691,100,23152189,tcdd,100,687,691,en_core_sci_sm,1000
22401710,ketoprofen,1287,1297,100,22401710,ketoprofen,100,1287,1297,en_core_sci_sm,1000
23036111,fungicide hymexazol,486,505,64,23036111,hymexazol,64,496,505,en_core_sci_sm,1000
22968082,increased,1671,1680,15,22968082,amph,15,1666,1670,en_core_sci_sm,1000
23210742,aca,556,559,100,23210742,aca,100,556,559,en_core_sci_sm,1000
23052190,rats,556,560,29,23052190,crm,29,550,553,en_core_sci_sm,1000
22722774,salicylic acid,18,32,100,22722774,salicylic acid,100,18,32,en_core_sci_sm,1000
22475036,1β 3β dihydroxy 12 oleanene,209,236,100,22475036,1β 3β dihydroxy 12 oleanene,100,209,236,en_core_sci_sm,1000
23202848, e 5 alkoxy 3 3 hydroxy 3 phenylprop 1 enyl 4h chromen 4 ones,81,145,100,23202848, e 5 alkoxy 3 3 hydroxy 3 phenylprop 1 enyl 4h chromen 4 ones,100,81,145,en_core_sci_sm,1000
23255426,changes,816,823,13,23255426,selenium,13,807,815,en_core_sci_sm,1000
23175103,oxidation,1270,1279,18,23175103,co,18,1267,1269,en_core_sci_sm,1000
23204517,modulate,276,284,15,23204517,ca 2 ,15,285,291,en_core_sci_sm,1000
23212963,colloidal carbon,1509,1525,55,23212963,carbon,55,1519,1525,en_core_sci_sm,1000
23201371,nlx,1062,1065,100,23201371,nlx,100,1062,1065,en_core_sci_sm,1000
23214973,sialic acid rich,119,135,81,23214973,sialic acid,81,119,130,en_core_sci_sm,1000
23122157,gallic acid,695,706,100,23122157,gallic acid,100,695,706,en_core_sci_sm,1000
22813627,moinp,577,582,100,22813627,moinp,100,577,582,en_core_sci_sm,1000
23182087,nk0139a,89,96,100,23182087,nk0139a,100,89,96,en_core_sci_sm,1000
23210742,ohac trans aca molecules,1211,1235,55,23210742,trans aca,55,1216,1225,en_core_sci_sm,1000
23164619,dhβe induced,982,994,50,23164619,dhβe,50,982,986,en_core_sci_sm,1000
23111348,rhodamine6g,1097,1108,100,23111348,rhodamine6g,100,1097,1108,en_core_sci_sm,1000
23146761,epigallocatechin gallate,0,24,100,23146761,epigallocatechin gallate,100,0,24,en_core_sci_sm,1000
23142559,ach,486,489,100,23142559,ach,100,486,489,en_core_sci_sm,1000
22815312,carbamazepine,1168,1181,100,22815312,carbamazepine,100,1168,1181,en_core_sci_sm,1000
23111348,thy,1763,1766,100,23111348,thy,100,1763,1766,en_core_sci_sm,1000
23146761,treatment,358,367,15,23146761,egcg,15,353,357,en_core_sci_sm,1000
23122094,terpene alcohols,945,961,100,23122094,terpene alcohols,100,945,961,en_core_sci_sm,1000
22381584,input,518,523,29,22381584,glutamate,29,508,517,en_core_sci_sm,1000
23143415,o 2 tolerance,448,462,47,23143415,o 2 ,47,448,452,en_core_sci_sm,1000
22788802,dco channels,570,585,50,22788802,dco ,50,570,576,en_core_sci_sm,1000
23252613,microelectronics,113,129,11,23252613,li,11,121,123,en_core_sci_sm,1000
23022324,naaso 2,1224,1231,93,23022324,naaso 2 ,93,1224,1232,en_core_sci_sm,1000
23238642,utilize,344,351,14,23238642,arsenic,14,352,359,en_core_sci_sm,1000
23127916,imatinib,93,101,100,23127916,imatinib,100,93,101,en_core_sci_sm,1000
22722027,mdl,1034,1037,46,22722027,mdl 11 939,46,1034,1044,en_core_sci_sm,1000
23132866,thr 158,813,820,60,23132866,thr,60,813,816,en_core_sci_sm,1000
22790339,dmi,165,168,100,22790339,dmi,100,165,168,en_core_sci_sm,1000
23177536,data,1256,1260,29,23177536,vpa,29,1247,1250,en_core_sci_sm,1000
22401710,pvpp,973,977,100,22401710,pvpp,100,973,977,en_core_sci_sm,1000
23178950,dtxl,92,96,100,23178950,dtxl,100,92,96,en_core_sci_sm,1000
23010360,late i na ,1188,1198,33,23010360,na,33,1195,1197,en_core_sci_sm,1000
23253427,co,140,142,100,23253427,co,100,140,142,en_core_sci_sm,1000
23239629,dmapma,435,441,100,23239629,dmapma,100,435,441,en_core_sci_sm,1000
23104246,inorganic,211,220,50,23104246,arsenic,50,221,228,en_core_sci_sm,1000
23159986,2 propanol,999,1009,100,23159986,2 propanol,100,999,1009,en_core_sci_sm,1000
22491024,lu,1223,1225,33,22491024,lu af21934,33,1223,1233,en_core_sci_sm,1000
23122115,fructose,187,195,100,23122115,fructose,100,187,195,en_core_sci_sm,1000
23000446,methyl methanesulfonate,923,946,100,23000446,methyl methanesulfonate,100,923,946,en_core_sci_sm,1000
23132909,plasma cholesterol,529,547,76,23132909,cholesterol,76,536,547,en_core_sci_sm,1000
23108036,arsenic,0,7,100,23108036,arsenic,100,0,7,en_core_sci_sm,1000
22899102,bp,273,275,33,22899102,bp phenols,33,273,283,en_core_sci_sm,1000
23187874,graphene,136,144,100,23187874,graphene,100,136,144,en_core_sci_sm,1000
23154533,ptu,819,822,100,23154533,ptu,100,819,822,en_core_sci_sm,1000
23147692,acetylphenylhydrazine,219,240,100,23147692,acetylphenylhydrazine,100,219,240,en_core_sci_sm,1000
23210786,thymoquinone,1161,1173,100,23210786,thymoquinone,100,1161,1173,en_core_sci_sm,1000
22864849,glutamate cysteine ligase,434,459,48,22864849,cysteine,48,444,452,en_core_sci_sm,1000
23166012,sdbs,357,361,100,23166012,sdbs,100,357,361,en_core_sci_sm,1000
23052191,melamine,817,825,100,23052191,melamine,100,817,825,en_core_sci_sm,1000
23055445,al pd janus,149,160,31,23055445,al,31,149,151,en_core_sci_sm,1000
23249300,ionomer membranes,50,67,21,23249300,perfluorosulfonic acid,21,47,69,en_core_sci_sm,1000
23254573,water aot isooctane,351,370,64,23254573,isooctane,64,361,370,en_core_sci_sm,1000
23202847,ampicillin,880,890,100,23202847,ampicillin,100,880,890,en_core_sci_sm,1000
23237860,aldehyde dehydrogenase,37,59,47,23237860,acetaldehyde,47,46,58,en_core_sci_sm,1000
23256440,polystyrene,401,412,100,23256440,polystyrene,100,401,412,en_core_sci_sm,1000
23256531,c 60 flowers,513,526,59,23256531,c 60 ,59,513,518,en_core_sci_sm,1000
22788802,doco ,1516,1523,100,22788802,doco ,100,1516,1523,en_core_sci_sm,1000
23143037,action,1654,1660,22,23143037,ibu,22,1664,1667,en_core_sci_sm,1000
23194828,d amphetamine,1073,1086,100,23194828,d amphetamine,100,1073,1086,en_core_sci_sm,1000
23123771,nitrogen,1010,1018,100,23123771,nitrogen,100,1010,1018,en_core_sci_sm,1000
23111881,taa,15,18,100,23111881,taa,100,15,18,en_core_sci_sm,1000
23085122,procyclidine,551,563,100,23085122,procyclidine,100,551,563,en_core_sci_sm,1000
23111886,bilirubin,902,911,100,23111886,bilirubin,100,902,911,en_core_sci_sm,1000
23142844,cholesterol,961,972,100,23142844,cholesterol,100,961,972,en_core_sci_sm,1000
23111348,glucose free,1263,1275,74,23111348,glucose,74,1263,1270,en_core_sci_sm,1000
23122067,levels,604,610,27,23122067,flavonoid,27,594,603,en_core_sci_sm,1000
23211441,tert butyl hydroperoxide,308,332,100,23211441,tert butyl hydroperoxide,100,308,332,en_core_sci_sm,1000
23230905,au,466,468,100,23230905,au,100,466,468,en_core_sci_sm,1000
22690834,adefovir ns,1453,1464,84,22690834,adefovir,84,1453,1461,en_core_sci_sm,1000
22998221,span60,349,355,83,22998221,span40,83,341,347,en_core_sci_sm,1000
23160530,brain glucose sensing,438,459,50,23160530,glucose,50,444,451,en_core_sci_sm,1000
23168114,stp,736,739,100,23168114,stp,100,736,739,en_core_sci_sm,1000
23219593,abnormal,139,147,12,23219593,estrogen,12,142,150,en_core_sci_sm,1000
23197773,haloperidol,1275,1286,100,23197773,haloperidol,100,1275,1286,en_core_sci_sm,1000
22940000,adenosine s,339,350,90,22940000,adenosine,90,339,348,en_core_sci_sm,1000
23136062,nopo,1000,1004,100,23136062,nopo,100,1000,1004,en_core_sci_sm,1000
23103566,hfcs 55,1091,1098,100,23103566,hfcs 55,100,1091,1098,en_core_sci_sm,1000
