article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
22899102,bpde,517,521,100,22899102,bpde,100,517,521,en_ner_bc5cdr_md,1000
23046524,paraoxon,912,920,100,23046524,paraoxon,100,912,920,en_ner_bc5cdr_md,1000
22301815,endosulfan,15,25,100,22301815,endosulfan,100,15,25,en_ner_bc5cdr_md,1000
22851333,cortisol,1611,1619,100,22851333,cortisol,100,1611,1619,en_ner_bc5cdr_md,1000
22974972,cholesterol,908,919,100,22974972,cholesterol,100,908,919,en_ner_bc5cdr_md,1000
22935038,cort,1021,1025,100,22935038,cort,100,1021,1025,en_ner_bc5cdr_md,1000
22830954,clopidogrel,979,990,100,22830954,clopidogrel,100,979,990,en_ner_bc5cdr_md,1000
23064722,atp,446,449,100,23064722,atp,100,446,449,en_ner_bc5cdr_md,1000
23123771,nitrogen,963,971,100,23123771,nitrogen,100,963,971,en_ner_bc5cdr_md,1000
23202847,thiophenol,96,106,100,23202847,thiophenol,100,96,106,en_ner_bc5cdr_md,1000
22352409,sulforaphane,505,517,100,22352409,sulforaphane,100,505,517,en_ner_bc5cdr_md,1000
23179775,hydrocortisone,1059,1073,100,23179775,hydrocortisone,100,1059,1073,en_ner_bc5cdr_md,1000
23103569,h2s,310,313,100,23103569,h2s,100,310,313,en_ner_bc5cdr_md,1000
23123662,neurotoxicity,68,81,19,23123662,platinum,19,67,75,en_ner_bc5cdr_md,1000
23220037,dox,1045,1048,100,23220037,dox,100,1045,1048,en_ner_bc5cdr_md,1000
22876953,nad ,1003,1007,67,22876953,β nad,67,993,998,en_ner_bc5cdr_md,1000
23179753,mehg,1658,1662,100,23179753,mehg,100,1658,1662,en_ner_bc5cdr_md,1000
23084158,magnesium hydroxide,14,33,100,23084158,magnesium hydroxide,100,14,33,en_ner_bc5cdr_md,1000
22995584,paclitaxel,231,241,100,22995584,paclitaxel,100,231,241,en_ner_bc5cdr_md,1000
23123249,pimp,659,663,100,23123249,pimp,100,659,663,en_ner_bc5cdr_md,1000
23111348,monoterpenes,274,286,100,23111348,monoterpenes,100,274,286,en_ner_bc5cdr_md,1000
23202851,clarithromycin,268,282,100,23202851,clarithromycin,100,268,282,en_ner_bc5cdr_md,1000
23078954,don,963,966,100,23078954,don,100,963,966,en_ner_bc5cdr_md,1000
23207055,hydroxylated phthalic acid,1132,1158,100,23207055,hydroxylated phthalic acid,100,1132,1158,en_ner_bc5cdr_md,1000
23220145,superoxide anion,395,411,77,23220145,superoxide,77,395,405,en_ner_bc5cdr_md,1000
23230133,danofloxacin,928,940,100,23230133,danofloxacin,100,928,940,en_ner_bc5cdr_md,1000
23157634,glu,263,266,100,23157634,glu,100,263,266,en_ner_bc5cdr_md,1000
23111876,amitriptyline,694,707,100,23111876,amitriptyline,100,694,707,en_ner_bc5cdr_md,1000
23171962,cu,104,106,100,23171962,cu,100,104,106,en_ner_bc5cdr_md,1000
23240979,poly phenylene ethynylene,107,132,98,23240979,poly phenylene ethynylene ,98,107,133,en_ner_bc5cdr_md,1000
23093496,adp,894,897,100,23093496,adp,100,894,897,en_ner_bc5cdr_md,1000
22694127,ibuprofen,1418,1427,100,22694127,ibuprofen,100,1418,1427,en_ner_bc5cdr_md,1000
23201371,nlx,744,747,100,23201371,nlx,100,744,747,en_ner_bc5cdr_md,1000
22718571,gentianine,160,170,100,22718571,gentianine,100,160,170,en_ner_bc5cdr_md,1000
23054066,serotonin,659,668,100,23054066,serotonin,100,659,668,en_ner_bc5cdr_md,1000
23122067,phenolic,581,589,100,23122067,phenolic,100,581,589,en_ner_bc5cdr_md,1000
22614004,dichloroacetate,411,426,100,22614004,dichloroacetate,100,411,426,en_ner_bc5cdr_md,1000
23043183,vilanterol,519,529,100,23043183,vilanterol,100,519,529,en_ner_bc5cdr_md,1000
23124594,sweet steviol glycosides,88,112,86,23124594,steviol glycosides,86,94,112,en_ner_bc5cdr_md,1000
22901687,noradrenaline,1500,1513,100,22901687,noradrenaline,100,1500,1513,en_ner_bc5cdr_md,1000
23157634,myo inositol,230,242,100,23157634,myo inositol,100,230,242,en_ner_bc5cdr_md,1000
23107818,dxr,1074,1077,100,23107818,dxr,100,1074,1077,en_ner_bc5cdr_md,1000
22082827,superoxide,910,920,100,22082827,superoxide,100,910,920,en_ner_bc5cdr_md,1000
22830954,sibutramine,880,891,100,22830954,sibutramine,100,880,891,en_ner_bc5cdr_md,1000
23200944,alcohol,19,26,100,23200944,alcohol,100,19,26,en_ner_bc5cdr_md,1000
23055445,al,223,225,100,23055445,al,100,223,225,en_ner_bc5cdr_md,1000
23065531,carboxylic acid compound,1245,1269,77,23065531,carboxylic acid,77,1245,1260,en_ner_bc5cdr_md,1000
23195733,oxygen,63,69,100,23195733,oxygen,100,63,69,en_ner_bc5cdr_md,1000
23017407,ethanol,463,470,100,23017407,ethanol,100,463,470,en_ner_bc5cdr_md,1000
23183543,hydrazone,164,173,100,23183543,hydrazone,100,164,173,en_ner_bc5cdr_md,1000
22273350,curcumenol,565,575,100,22273350,curcumenol,100,565,575,en_ner_bc5cdr_md,1000
23058251,imidacloprid,1658,1670,100,23058251,imidacloprid,100,1658,1670,en_ner_bc5cdr_md,1000
23154533,mmi,178,181,100,23154533,mmi,100,178,181,en_ner_bc5cdr_md,1000
23166012,sdbs,357,361,100,23166012,sdbs,100,357,361,en_ner_bc5cdr_md,1000
23223499,estrogens,129,138,100,23223499,estrogens,100,129,138,en_ner_bc5cdr_md,1000
23122067,phenols,1020,1027,100,23122067,phenols,100,1020,1027,en_ner_bc5cdr_md,1000
23123662,copper,1557,1563,100,23123662,copper,100,1557,1563,en_ner_bc5cdr_md,1000
22998295,mtx,603,606,100,22998295,mtx,100,603,606,en_ner_bc5cdr_md,1000
23142599,1 2 3 7 8 pentachlorodibenzo p dioxin,922,959,100,23142599,1 2 3 7 8 pentachlorodibenzo p dioxin,100,922,959,en_ner_bc5cdr_md,1000
23152189,gsh glutathione disulfide,1004,1029,91,23152189,glutathione disulfide,91,1008,1029,en_ner_bc5cdr_md,1000
22532499,glucose,844,851,100,22532499,glucose,100,844,851,en_ner_bc5cdr_md,1000
23211363,ari,588,591,100,23211363,ari,100,588,591,en_ner_bc5cdr_md,1000
23231420,styrene,446,453,100,23231420,styrene,100,446,453,en_ner_bc5cdr_md,1000
23157625,serotonin,273,282,100,23157625,serotonin,100,273,282,en_ner_bc5cdr_md,1000
22961095,nitric oxide,689,701,100,22961095,nitric oxide,100,689,701,en_ner_bc5cdr_md,1000
23041232,fatty acid,188,198,100,23041232,fatty acid,100,188,198,en_ner_bc5cdr_md,1000
22732147,melamine,365,373,100,22732147,melamine,100,365,373,en_ner_bc5cdr_md,1000
23142844,sphingomyelin,735,748,100,23142844,sphingomyelin,100,735,748,en_ner_bc5cdr_md,1000
23123664,gsh,372,375,100,23123664,gsh,100,372,375,en_ner_bc5cdr_md,1000
22456000,diphysidione,0,12,100,22456000,diphysidione,100,0,12,en_ner_bc5cdr_md,1000
23219925,kynurenine,0,10,100,23219925,kynurenine,100,0,10,en_ner_bc5cdr_md,1000
23147987,pcbs,69,73,100,23147987,pcbs,100,69,73,en_ner_bc5cdr_md,1000
23154533,ptu,1233,1236,100,23154533,ptu,100,1233,1236,en_ner_bc5cdr_md,1000
22607130,apigenin,663,671,100,22607130,apigenin,100,663,671,en_ner_bc5cdr_md,1000
23249624,dabrafenib,1279,1289,100,23249624,dabrafenib,100,1279,1289,en_ner_bc5cdr_md,1000
23194532,carbonyls,417,426,100,23194532,carbonyls,100,417,426,en_ner_bc5cdr_md,1000
22968082,amph,1305,1309,100,22968082,amph,100,1305,1309,en_ner_bc5cdr_md,1000
