Model,Article Count,Article ID,Entity,Start,End
en_ner_bionlp13cg_md,1000,23020788,auc0 last,744,753
en_ner_bionlp13cg_md,1000,23066996,t cell,1085,1091
en_ner_bionlp13cg_md,1000,23150495,insulin,1058,1065
en_ner_bionlp13cg_md,1000,22835278,androgen,373,381
en_ner_bionlp13cg_md,1000,23179775,cortisol,747,755
en_ner_bionlp13cg_md,1000,22951949,cell,1441,1445
en_ner_bionlp13cg_md,1000,23182946,neuronal,1774,1782
en_ner_bionlp13cg_md,1000,22430206,nuclear,394,401
en_ner_bionlp13cg_md,1000,23235923,at1r,811,815
en_ner_bionlp13cg_md,1000,22901687,rats,741,745
en_ner_bionlp13cg_md,1000,23123664,tamoxifen,0,9
en_ner_bionlp13cg_md,1000,23153618,lopinavir,919,928
en_ner_bionlp13cg_md,1000,23201092,sgnrh,860,865
en_ner_bionlp13cg_md,1000,23246481,wogonin,190,197
en_ner_bionlp13cg_md,1000,22765351,lysine ammonium,1884,1899
en_ner_bionlp13cg_md,1000,22799453,pomelo,740,746
en_ner_bionlp13cg_md,1000,23017398,cocoa,561,566
en_ner_bionlp13cg_md,1000,23072367,lipid phosphatase,405,422
en_ner_bionlp13cg_md,1000,23091188,scrh,1594,1598
en_ner_bionlp13cg_md,1000,23118028,cancer,339,345
en_ner_bionlp13cg_md,1000,23146755,ca 2 ,198,203
en_ner_bionlp13cg_md,1000,23085433,er stress,1096,1105
en_ner_bionlp13cg_md,1000,23146761,bile acid,1009,1018
en_ner_bionlp13cg_md,1000,23174340,bms 763534,999,1009
en_ner_bionlp13cg_md,1000,23063782,tissue,663,669
en_ner_bionlp13cg_md,1000,23210780,oleanolic acid,414,428
en_ner_bionlp13cg_md,1000,22995584,ros,1409,1412
en_ner_bionlp13cg_md,1000,22503097,nanoparticles,1640,1653
en_ner_bionlp13cg_md,1000,23256485,hiv pis,1149,1156
en_ner_bionlp13cg_md,1000,23169610,gh,263,265
en_ner_bionlp13cg_md,1000,23030793,lung,1211,1215
en_ner_bionlp13cg_md,1000,23246460,renal tubule tumors,489,508
en_ner_bionlp13cg_md,1000,22564440,dnmt1,779,784
en_ner_bionlp13cg_md,1000,23220037,dox,564,567
en_ner_bionlp13cg_md,1000,23255254,ammonium,25,33
en_ner_bionlp13cg_md,1000,23173549,peroxisome proliferator activated receptor alpha,81,129
en_ner_bionlp13cg_md,1000,22614014,osteolytic,898,908
en_ner_bionlp13cg_md,1000,22923220,ctla 4,509,515
en_ner_bionlp13cg_md,1000,23103566,liver,1391,1396
en_ner_bionlp13cg_md,1000,23194541,r 0 789 ,1438,1448
en_ner_bionlp13cg_md,1000,23220609,benzylparaben,0,13
en_ner_bionlp13cg_md,1000,23164616,ccl2,779,783
en_ner_bionlp13cg_md,1000,23078954,epithelial monolayer,1616,1636
en_ner_bionlp13cg_md,1000,23220641,sirtuins,138,146
en_ner_bionlp13cg_md,1000,23111348,carv,28,32
en_ner_bionlp13cg_md,1000,22995439,fe 3 o 4 nps,61,74
en_ner_bionlp13cg_md,1000,23220538,cancers,565,572
en_ner_bionlp13cg_md,1000,23229057,tetra coordinate,1307,1323
en_ner_bionlp13cg_md,1000,23159464,men,726,729
en_ner_bionlp13cg_md,1000,23135549,tissue,280,286
en_ner_bionlp13cg_md,1000,22640596,galactose,379,388
en_ner_bionlp13cg_md,1000,22830954,plasma,0,6
en_ner_bionlp13cg_md,1000,23106203,actii orf4,568,578
en_ner_bionlp13cg_md,1000,22855364,monolayers,466,476
en_ner_bionlp13cg_md,1000,23178593,cellular,939,947
en_ner_bionlp13cg_md,1000,23249538,opiate,348,354
en_ner_bionlp13cg_md,1000,23042952,polyphenol,62,72
en_ner_bionlp13cg_md,1000,23220616,db db mice,216,226
en_ner_bionlp13cg_md,1000,23167812,8 8 dialkyldihydroberberines,14,42
en_ner_bionlp13cg_md,1000,22977165,dermal,1123,1129
en_ner_bionlp13cg_md,1000,23256716,copd,586,590
en_ner_bionlp13cg_md,1000,22564440,gabaergic neurons,1325,1342
en_ner_bionlp13cg_md,1000,22708620,leaves,811,817
en_ner_bionlp13cg_md,1000,23086747,intracellular,1006,1019
en_ner_bionlp13cg_md,1000,22372865,electron,726,734
en_ner_bionlp13cg_md,1000,23147645,lung,366,370
en_ner_bionlp13cg_md,1000,23160480,sh2,763,766
en_ner_bionlp13cg_md,1000,23194408,schedule fed,1216,1228
en_ner_bionlp13cg_md,1000,23199985,gelatine,627,635
en_ner_bionlp13cg_md,1000,23093023,et 1,909,913
en_ner_bionlp13cg_md,1000,23200943,endometrium,1742,1753
en_ner_bionlp13cg_md,1000,23250802, hr ,874,878
en_ner_bionlp13cg_md,1000,23086747,cells,1367,1372
en_ner_bionlp13cg_md,1000,23022048,gaba,1452,1456
en_ner_bionlp13cg_md,1000,23017398,cocoa,693,698
en_ner_bionlp13cg_md,1000,23230266,centromere,421,431
en_ner_bionlp13cg_md,1000,23200732,heart,949,954
en_ner_bionlp13cg_md,1000,23044094,lactic acid,1328,1339
en_ner_bionlp13cg_md,1000,22898566,pufas,85,90
en_ner_bionlp13cg_md,1000,22992332,vpa,1228,1231
en_ner_bionlp13cg_md,1000,22438091,sinensetin,529,539
en_ner_bionlp13cg_md,1000,22847135,dna,919,922
en_ner_bionlp13cg_md,1000,23019138,cb1,1510,1513
en_ner_bionlp13cg_md,1000,23065141,il 2,1657,1661
en_ner_bionlp13cg_md,1000,23214973,cell,1192,1196
en_ner_bionlp13cg_md,1000,22525271,yap dependent cell,935,953
en_ner_bionlp13cg_md,1000,23086141,apj,473,476
en_ner_bionlp13cg_md,1000,22956632,blood neutrophil,1506,1522
en_ner_bionlp13cg_md,1000,23210774,ck2,184,187
en_ner_bionlp13cg_md,1000,23219925,cell,641,645
en_ner_bionlp13cg_md,1000,23220618,hyperoside,988,998
en_ner_bionlp13cg_md,1000,23020787,mk571,562,567
en_ner_bionlp13cg_md,1000,23150493,saline,741,747
en_ner_bionlp13cg_md,1000,22837389,cyp2c9,961,967
en_ner_bionlp13cg_md,1000,23201180,children,626,634
en_ner_bionlp13cg_md,1000,22982248,tnfα,1203,1207
en_ner_bionlp13cg_md,1000,22694127,ion exchange fibers,295,314
en_ner_bionlp13cg_md,1000,22935610,mitochondria,689,701
en_ner_bionlp13cg_md,1000,23205634,cholesterol,1130,1141
en_ner_bionlp13cg_md,1000,23138112,lin28a,739,745
en_ner_bionlp13cg_md,1000,23109114,femoral,1400,1407
en_ner_bionlp13cg_md,1000,22948773,patients,380,388
en_ner_bionlp13cg_md,1000,23085436,ob ob mice,1221,1231
en_ner_bionlp13cg_md,1000,23017407,gaba a bzd,1107,1118
en_ner_bionlp13cg_md,1000,22551778,cell,1145,1149
en_ner_bionlp13cg_md,1000,22982218,parp,1061,1065
en_ner_bionlp13cg_md,1000,23122115,lactulose,15,24
en_ner_bionlp13cg_md,1000,23091188,sandwich cultured rat hepatocytes,623,656
en_ner_bionlp13cg_md,1000,23122147,urine samples,375,388
en_ner_bionlp13cg_md,1000,23132866,prostate malignancy,1266,1285
en_ner_bionlp13cg_md,1000,23229057,cisplatin,1571,1580
en_ner_bionlp13cg_md,1000,23246732,dna,327,330
en_ner_bionlp13cg_md,1000,22809709,mecamylamine,1177,1189
en_ner_bionlp13cg_md,1000,23201927,sal b,1286,1291
en_ner_bionlp13cg_md,1000,23207056,dhba,881,885
en_ner_bionlp13cg_md,1000,22348951,gssg,1089,1093
en_ner_bionlp13cg_md,1000,23164618,intra plc d 1 receptor,1084,1107
en_ner_bionlp13cg_md,1000,22849377,follicle stimulating hormone,27,55
en_ner_bionlp13cg_md,1000,22991246,vertebroplasty,594,608
en_ner_bionlp13cg_md,1000,23022324,venus,683,688
en_ner_bionlp13cg_md,1000,23143037,haemolymph lysozyme,428,447
en_ner_bionlp13cg_md,1000,22951949,intracellular copper,680,700
en_ner_bionlp13cg_md,1000,23146664,pak1,1232,1236
en_ner_bionlp13cg_md,1000,23159330,organs,280,286
en_ner_bionlp13cg_md,1000,23085095,cyp3a,501,506
en_ner_bionlp13cg_md,1000,23129806,fatty acids,830,841
en_ner_bionlp13cg_md,1000,23099502,t 2,1230,1233
en_ner_bionlp13cg_md,1000,23064325,lung tissue,1600,1611
en_ner_bionlp13cg_md,1000,23123224,ecpa,1263,1267
en_ner_bionlp13cg_md,1000,22410778,glucose,950,957
en_ner_bionlp13cg_md,1000,22335586,oil,826,829
en_ner_bionlp13cg_md,1000,23123249,peripheral ache,1180,1195
en_ner_bionlp13cg_md,1000,23141427,nms,600,603
en_ner_bionlp13cg_md,1000,23111886,aspartate aminotransferase,828,854
en_ner_bionlp13cg_md,1000,23230266,centromere,295,305
en_ner_bionlp13cg_md,1000,23249624,p gp,616,620
en_ner_bionlp13cg_md,1000,23111886,body,1055,1059
en_ner_bionlp13cg_md,1000,22864849,heme oxygenase 1,406,422
en_ner_bionlp13cg_md,1000,23020788,tr,1137,1139
en_ner_bionlp13cg_md,1000,23147004,solitary sites,915,929
en_ner_bionlp13cg_md,1000,22360570,brain,217,222
en_ner_bionlp13cg_md,1000,22809709,nicotine,767,775
en_ner_bionlp13cg_md,1000,22977165,skin lesions,1215,1227
en_ner_bionlp13cg_md,1000,23203941,vitamin b 12 oral,319,337
en_ner_bionlp13cg_md,1000,22956413,fnab,276,280
en_ner_bionlp13cg_md,1000,22961095,inos,940,944
en_ner_bionlp13cg_md,1000,23178632,f vesiculosus,1128,1142
en_ner_bionlp13cg_md,1000,22956632,gdc 0152,211,219
en_ner_bionlp13cg_md,1000,23244292,borane tetrahydrofuran,420,442
en_ner_bionlp13cg_md,1000,23127600,dimethyldiguanide,435,452
en_ner_bionlp13cg_md,1000,23059813,fnd,899,902
en_ner_bionlp13cg_md,1000,23194076,androgens,525,534
en_ner_bionlp13cg_md,1000,23122100,oil,1241,1244
en_ner_bionlp13cg_md,1000,23132866,ar,625,627
en_ner_bionlp13cg_md,1000,23237733,isoliquiritigenin,0,17
en_ner_bionlp13cg_md,1000,23010360,gs967,509,514
en_ner_bionlp13cg_md,1000,23201051,stearoyl peg polysdm,672,692
en_ner_bionlp13cg_md,1000,23229510,μm,1033,1035
en_ner_bionlp13cg_md,1000,22082827,blood,810,815
en_ner_bionlp13cg_md,1000,23099503,niacin,302,308
en_ner_bionlp13cg_md,1000,23122067,bark,99,103
en_ner_bionlp13cg_md,1000,22837389,estradiol,915,924
en_ner_bionlp13cg_md,1000,23164921,catalpol,525,533
en_ner_bionlp13cg_md,1000,23254198,bza,1476,1479
en_ner_bionlp13cg_md,1000,23085295,4 6 diamidino 2 phenylindole dihydrochloride,614,660
en_ner_bionlp13cg_md,1000,23137956,egcg,1189,1193
en_ner_bionlp13cg_md,1000,23135241,catecholamine neurotransmitters,67,98
en_ner_bionlp13cg_md,1000,23089250,sturgeon,2071,2079
en_ner_bionlp13cg_md,1000,23072941,acyclovir,725,734
en_ner_bionlp13cg_md,1000,22796429,nmdar,516,521
en_ner_bionlp13cg_md,1000,23017390,tyrosol,468,475
en_ner_bionlp13cg_md,1000,23020786,akr1b10,860,867
en_ner_bionlp13cg_md,1000,23196670,ahr,1390,1393
en_ner_bionlp13cg_md,1000,23085436,liver,767,772
en_ner_bionlp13cg_md,1000,23142559,m3r,530,533
en_ner_bionlp13cg_md,1000,23218718,pc3,136,139
en_ner_bionlp13cg_md,1000,22236093,tuber melanosporum,327,345
en_ner_bionlp13cg_md,1000,23254197,mouse,236,241
en_ner_bionlp13cg_md,1000,23188717,telomeres,80,89
en_ner_bionlp13cg_md,1000,23046379,mice,1378,1382
en_ner_bionlp13cg_md,1000,23151002,membranes,110,119
en_ner_bionlp13cg_md,1000,22531751,mglu3,234,239
en_ner_bionlp13cg_md,1000,23150428,cyp2d26,411,418
en_ner_bionlp13cg_md,1000,23010565,cell,1136,1140
en_ner_bionlp13cg_md,1000,23165930,cells,734,739
en_ner_bionlp13cg_md,1000,23194532,tea extract,532,543
en_ner_bionlp13cg_md,1000,22410778,mitochondrial,1620,1633
en_ner_bionlp13cg_md,1000,23220616,sulfur amino acids,84,102
en_ner_bionlp13cg_md,1000,23145985,z ring,916,922
en_ner_bionlp13cg_md,1000,23194548,arabinose,853,862
en_ner_bionlp13cg_md,1000,22989504,skin,1123,1127
en_ner_bionlp13cg_md,1000,23254341,m h,1537,1541
en_ner_bionlp13cg_md,1000,22982776,liver,870,875
en_ner_bionlp13cg_md,1000,22992332,humans,239,245
en_ner_bionlp13cg_md,1000,23043183,oral,142,146
en_ner_bionlp13cg_md,1000,22864849,rat,293,296
en_ner_bionlp13cg_md,1000,23084046,fish,735,739
en_ner_bionlp13cg_md,1000,23194408,fat,1300,1303
en_ner_bionlp13cg_md,1000,22935038,spines,736,742
en_ner_bionlp13cg_md,1000,22585412,hydroxy,19,26
en_ner_bionlp13cg_md,1000,23019138,anandamide,1360,1370
en_ner_bionlp13cg_md,1000,23160480,sh2,500,503
en_ner_bionlp13cg_md,1000,23219702, sattabacin,590,604
en_ner_bionlp13cg_md,1000,23146755,ca 2 ,581,586
en_ner_bionlp13cg_md,1000,23060411,eye,1543,1546
en_ner_bionlp13cg_md,1000,22799453,eos,627,630
en_ner_bionlp13cg_md,1000,22564440,prs mice high levels of,1158,1182
en_ner_bionlp13cg_md,1000,23151001,anionic phospholipids,376,397
en_ner_bionlp13cg_md,1000,22508482,ovarian cancer cells,1762,1782
en_ner_bionlp13cg_md,1000,23157625,patients,1090,1098
en_ner_bionlp13cg_md,1000,23161873,hepatic lipid,1173,1186
en_ner_bionlp13cg_md,1000,23206865,naphthalimide 1,555,570
en_ner_bionlp13cg_md,1000,23046524,paraoxon,757,765
en_ner_bionlp13cg_md,1000,23089250,selenium,694,702
en_ner_bionlp13cg_md,1000,23192350,hek293t cells,1706,1719
en_ner_bionlp13cg_md,1000,23019138,δ 9 tetrahydrocannabinol,499,524
en_ner_bionlp13cg_md,1000,22722774,gerek 79,649,657
en_ner_bionlp13cg_md,1000,22864849,hepatocytes,305,316
en_ner_bionlp13cg_md,1000,22878908,pioglitazone,608,620
en_ner_bionlp13cg_md,1000,23192350,mice,273,277
en_ner_bionlp13cg_md,1000,22722774,catalase,502,510
en_ner_bionlp13cg_md,1000,23127600,cps,801,804
en_ner_bionlp13cg_md,1000,23044992,mif,326,329
en_ner_bionlp13cg_md,1000,23169609,des ethyl ertugliflozin,1254,1277
en_ner_bionlp13cg_md,1000,23064325,endobronchial,72,85
en_ner_bionlp13cg_md,1000,22989414,amiloride,1382,1391
en_ner_bionlp13cg_md,1000,23098878,human cancer cell lines hl60,333,361
en_ner_bionlp13cg_md,1000,23147004,type iib restriction modification protein,4,45
en_ner_bionlp13cg_md,1000,23117207,hydrogen,1377,1385
en_ner_bionlp13cg_md,1000,22591127,pterocladiella capillacea,219,244
en_ner_bionlp13cg_md,1000,23042729,nanog,800,805
en_ner_bionlp13cg_md,1000,23086141,neuropeptide apelin,4,23
en_ner_bionlp13cg_md,1000,23003213,fe3o4,115,120
en_ner_bionlp13cg_md,1000,23090760, 11,320,323
en_ner_bionlp13cg_md,1000,23123249,pyridinium oximes,374,391
en_ner_bionlp13cg_md,1000,22079313,mehg,848,852
en_ner_bionlp13cg_md,1000,23022048,prefrontal cortex,174,191
