article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
22835278,androgen,373,381,100,22835278,androgen,100,373,381,en_ner_bionlp13cg_md,1000
23179775,cortisol,747,755,100,23179775,cortisol,100,747,755,en_ner_bionlp13cg_md,1000
23123664,tamoxifen,0,9,100,23123664,tamoxifen,100,0,9,en_ner_bionlp13cg_md,1000
23153618,lopinavir,919,928,100,23153618,lopinavir,100,919,928,en_ner_bionlp13cg_md,1000
23246481,wogonin,190,197,100,23246481,wogonin,100,190,197,en_ner_bionlp13cg_md,1000
22765351,lysine ammonium,1884,1899,57,22765351,lysine,57,1884,1890,en_ner_bionlp13cg_md,1000
23146755,ca 2 ,198,203,100,23146755,ca 2 ,100,198,204,en_ner_bionlp13cg_md,1000
23146761,bile acid,1009,1018,100,23146761,bile acid,100,1009,1018,en_ner_bionlp13cg_md,1000
23174340,bms 763534,999,1009,100,23174340,bms 763534,100,999,1009,en_ner_bionlp13cg_md,1000
23210780,oleanolic acid,414,428,100,23210780,oleanolic acid,100,414,428,en_ner_bionlp13cg_md,1000
23220037,dox,564,567,100,23220037,dox,100,564,567,en_ner_bionlp13cg_md,1000
23255254,ammonium,25,33,100,23255254,ammonium,100,25,33,en_ner_bionlp13cg_md,1000
23220609,benzylparaben,0,13,100,23220609,benzylparaben,100,0,13,en_ner_bionlp13cg_md,1000
23111348,carv,28,32,100,23111348,carv,100,28,32,en_ner_bionlp13cg_md,1000
22995439,fe 3 o 4 nps,61,74,86,22995439,fe 3 o 4 ,86,61,70,en_ner_bionlp13cg_md,1000
22640596,galactose,379,388,100,22640596,galactose,100,379,388,en_ner_bionlp13cg_md,1000
23042952,polyphenol,62,72,100,23042952,polyphenol,100,62,72,en_ner_bionlp13cg_md,1000
23167812,8 8 dialkyldihydroberberines,14,42,100,23167812,8 8 dialkyldihydroberberines,100,14,42,en_ner_bionlp13cg_md,1000
23022048,gaba,1452,1456,100,23022048,gaba,100,1452,1456,en_ner_bionlp13cg_md,1000
