article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23249384,hepes,473,478,100,23249384,hepes,100,473,478,en_ner_craft_md,1000
22619007,silibinin,321,330,100,22619007,silibinin,100,321,330,en_ner_craft_md,1000
23123249,oximes,510,516,100,23123249,oximes,100,510,516,en_ner_craft_md,1000
22956628,arsenic,1071,1078,100,22956628,arsenic,100,1071,1078,en_ner_craft_md,1000
23179349,zinc,1314,1318,100,23179349,zinc,100,1314,1318,en_ner_craft_md,1000
23199996,zn,113,115,100,23199996,zn,100,113,115,en_ner_craft_md,1000
23022271,cytisine,0,8,100,23022271,cytisine,100,0,8,en_ner_craft_md,1000
23202848,hydrogen,882,890,100,23202848,hydrogen,100,882,890,en_ner_craft_md,1000
23146761,glutathione,515,526,100,23146761,glutathione,100,515,526,en_ner_craft_md,1000
23019138,win 55 212,526,536,100,23019138,win 55 212,100,526,536,en_ner_craft_md,1000
22961095,acrolein,123,131,100,22961095,acrolein,100,123,131,en_ner_craft_md,1000
23085331,form,1122,1126,29,23085331,tlm,29,1130,1133,en_ner_craft_md,1000
22591127,oleic,670,675,100,22591127,oleic,100,670,675,en_ner_craft_md,1000
22718571,swertiamarin,114,126,100,22718571,swertiamarin,100,114,126,en_ner_craft_md,1000
23123662,copper,1426,1432,100,23123662,copper,100,1426,1432,en_ner_craft_md,1000
23166012,chloride,69,77,17,23166012,ctac,17,79,83,en_ner_craft_md,1000
23085522,hexachlorobenzene,526,543,100,23085522,hexachlorobenzene,100,526,543,en_ner_craft_md,1000
23160530,glucose,995,1002,100,23160530,glucose,100,995,1002,en_ner_craft_md,1000
23108979,ethyl acetate,0,13,100,23108979,ethyl acetate,100,0,13,en_ner_craft_md,1000
22640596,galactose,379,388,100,22640596,galactose,100,379,388,en_ner_craft_md,1000
23239550,thf,850,853,100,23239550,thf,100,850,853,en_ner_craft_md,1000
23017407,fruits,37,43,15,23017407,ethanol,15,30,37,en_ner_craft_md,1000
22424051,flavonoids,167,177,100,22424051,flavonoids,100,167,177,en_ner_craft_md,1000
23154194,propylene glycol,713,729,100,23154194,propylene glycol,100,713,729,en_ner_craft_md,1000
23179409,atrazine,1631,1639,100,23179409,atrazine,100,1631,1639,en_ner_craft_md,1000
23207056,dhba,881,885,100,23207056,dhba,100,881,885,en_ner_craft_md,1000
22236017,terpineol,395,404,100,22236017,terpineol,100,395,404,en_ner_craft_md,1000
23174748,anthraquinones,665,679,100,23174748,anthraquinones,100,665,679,en_ner_craft_md,1000
23135241,noradrenaline,1566,1579,100,23135241,noradrenaline,100,1566,1579,en_ner_craft_md,1000
23046389,zoniporide,1015,1025,100,23046389,zoniporide,100,1015,1025,en_ner_craft_md,1000
23200735,quercetin,670,679,100,23200735,quercetin,100,670,679,en_ner_craft_md,1000
23044094,8 methoxypsoralen,1269,1286,100,23044094,8 methoxypsoralen,100,1269,1286,en_ner_craft_md,1000
22765351,gtk ,903,908,86,22765351,gtk,86,903,906,en_ner_craft_md,1000
23211441,alanine,611,618,100,23211441,alanine,100,611,618,en_ner_craft_md,1000
23085522,hcb,545,548,100,23085522,hcb,100,545,548,en_ner_craft_md,1000
23199996,mercury,810,817,100,23199996,mercury,100,810,817,en_ner_craft_md,1000
23152439,vitamin d,1170,1179,100,23152439,vitamin d,100,1170,1179,en_ner_craft_md,1000
23244292,borane tetrahydrofuran adduct,420,449,68,23244292,tetrahydrofuran,68,427,442,en_ner_craft_md,1000
22981459,hi 6,1390,1394,100,22981459,hi 6,100,1390,1394,en_ner_craft_md,1000
22585412,cinnamic acid,41,54,100,22585412,cinnamic acid,100,41,54,en_ner_craft_md,1000
22910795,n acetylcysteine,814,830,100,22910795,n acetylcysteine,100,814,830,en_ner_craft_md,1000
23249624,dabrafenib,78,88,100,23249624,dabrafenib,100,88,98,en_ner_craft_md,1000
23152439,magnesium,1670,1679,100,23152439,magnesium,100,1670,1679,en_ner_craft_md,1000
23201180,ca 2 dependent,962,978,53,23201180,ca 2 ,53,962,968,en_ner_craft_md,1000
23202134,jasmonic acid,1328,1341,100,23202134,jasmonic acid,100,1328,1341,en_ner_craft_md,1000
23159668,ethyl cellulose,9,24,50,23159668,ethyl,50,9,14,en_ner_craft_md,1000
23164932,3 np,439,443,100,23164932,3 np,100,439,443,en_ner_craft_md,1000
23178950,dox,1544,1547,100,23178950,dox,100,1544,1547,en_ner_craft_md,1000
23129806,glucose,113,120,100,23129806,glucose,100,113,120,en_ner_craft_md,1000
23123662,cisplatin,565,574,100,23123662,cisplatin,100,565,574,en_ner_craft_md,1000
23210742,chloride,483,491,17,23210742,ohac,17,493,497,en_ner_craft_md,1000
22992332,d cycloserine,21,34,100,22992332,d cycloserine,100,21,34,en_ner_craft_md,1000
22564442,kcl,288,291,100,22564442,kcl,100,288,291,en_ner_craft_md,1000
23194541,catechin,914,922,100,23194541,catechin,100,914,922,en_ner_craft_md,1000
22995584,n acetylcysteine,1022,1038,100,22995584,n acetylcysteine,100,1022,1038,en_ner_craft_md,1000
22273350,o cymene,555,563,100,22273350,o cymene,100,555,563,en_ner_craft_md,1000
23199989,hexanol,393,400,100,23199989,hexanol,100,393,400,en_ner_craft_md,1000
23171424,amino acid sequence,894,913,69,23171424,amino acid,69,894,904,en_ner_craft_md,1000
23228472,dna,96,99,22,23228472,uracil,22,86,92,en_ner_craft_md,1000
23123662,oxaliplatin,1275,1286,100,23123662,oxaliplatin,100,1275,1286,en_ner_craft_md,1000
23085122,atropine,148,156,100,23085122,atropine,100,148,156,en_ner_craft_md,1000
23022048,gaba,421,425,100,23022048,gaba,100,421,425,en_ner_craft_md,1000
