Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_bc5cdr_md,evaluation.abstracts,1000,22824189,hypermotility,949,962
en_ner_bc5cdr_md,evaluation.abstracts,1000,23601411,tdf,212,215
en_ner_bc5cdr_md,evaluation.abstracts,1000,23262164,cs peg,448,454
en_ner_bc5cdr_md,evaluation.abstracts,1000,22727823,asd,132,135
en_ner_bc5cdr_md,evaluation.abstracts,1000,23116642,glutathione,747,758
en_ner_bc5cdr_md,evaluation.abstracts,1000,22370641,epirubicin,725,735
en_ner_bc5cdr_md,evaluation.abstracts,1000,23552261,pb,1166,1168
en_ner_bc5cdr_md,evaluation.abstracts,1000,23414837,triazolo,152,160
en_ner_bc5cdr_md,evaluation.abstracts,1000,23523101,gw9662,1324,1330
en_ner_bc5cdr_md,evaluation.abstracts,1000,23545134,cpf,1518,1521
en_ner_bc5cdr_md,evaluation.abstracts,1000,23457020,monofluoroacetate,119,136
en_ner_bc5cdr_md,evaluation.abstracts,1000,23411599,thioacetamide,519,532
en_ner_bc5cdr_md,evaluation.abstracts,1000,23450708,amyloid,216,223
en_ner_bc5cdr_md,evaluation.abstracts,1000,23624148,antimycin a,853,864
en_ner_bc5cdr_md,evaluation.abstracts,1000,23519470,death,1645,1650
en_ner_bc5cdr_md,evaluation.abstracts,1000,23017421,cholesterol,594,605
en_ner_bc5cdr_md,evaluation.abstracts,1000,23541671,fluorine,282,290
en_ner_bc5cdr_md,evaluation.abstracts,1000,22646908,piperitone oxide,301,317
en_ner_bc5cdr_md,evaluation.abstracts,1000,23281663,poly n isopropylacrylamide block poly aspartic acid,771,823
en_ner_bc5cdr_md,evaluation.abstracts,1000,22824189,schizophrenia,1762,1775
en_ner_bc5cdr_md,evaluation.abstracts,1000,23399882,ethanol,492,499
en_ner_bc5cdr_md,evaluation.abstracts,1000,23583884,tcdd,1574,1578
en_ner_bc5cdr_md,evaluation.abstracts,1000,23077183,igf1,1424,1428
en_ner_bc5cdr_md,evaluation.abstracts,1000,23123646,increases ischemic infarction,577,606
en_ner_bc5cdr_md,evaluation.abstracts,1000,23583883,lateral sclerosis,12,29
en_ner_bc5cdr_md,evaluation.abstracts,1000,23607697,multiple sclerosis,239,257
en_ner_bc5cdr_md,evaluation.abstracts,1000,23584355,ethanol,1424,1431
en_ner_bc5cdr_md,evaluation.abstracts,1000,23069375,rosiglitazone,0,13
en_ner_bc5cdr_md,evaluation.abstracts,1000,23613014,glucose,244,251
en_ner_bc5cdr_md,evaluation.abstracts,1000,23560650,neurogenic pain,875,890
