article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23262164,cs peg,448,454,67,23262164,peg,67,451,454,en_ner_bc5cdr_md,1000
23116642,glutathione,747,758,100,23116642,glutathione,100,747,758,en_ner_bc5cdr_md,1000
22370641,epirubicin,725,735,100,22370641,epirubicin,100,725,735,en_ner_bc5cdr_md,1000
23552261,pb,1166,1168,100,23552261,pb,100,1166,1168,en_ner_bc5cdr_md,1000
23523101,gw9662,1324,1330,100,23523101,gw9662,100,1324,1330,en_ner_bc5cdr_md,1000
23545134,cpf,1518,1521,100,23545134,cpf,100,1518,1521,en_ner_bc5cdr_md,1000
23457020,monofluoroacetate,119,136,100,23457020,monofluoroacetate,100,119,136,en_ner_bc5cdr_md,1000
23411599,thioacetamide,519,532,100,23411599,thioacetamide,100,519,532,en_ner_bc5cdr_md,1000
23624148,antimycin a,853,864,100,23624148,antimycin a,100,853,864,en_ner_bc5cdr_md,1000
23017421,cholesterol,594,605,100,23017421,cholesterol,100,594,605,en_ner_bc5cdr_md,1000
23541671,fluorine,282,290,100,23541671,fluorine,100,282,290,en_ner_bc5cdr_md,1000
22646908,piperitone oxide,301,317,100,22646908,piperitone oxide,100,301,317,en_ner_bc5cdr_md,1000
23281663,poly n isopropylacrylamide block poly aspartic acid,771,823,99,23281663,poly n isopropylacrylamide block poly aspartic acid ,99,771,824,en_ner_bc5cdr_md,1000
23399882,ethanol,492,499,100,23399882,ethanol,100,492,499,en_ner_bc5cdr_md,1000
23583884,tcdd,1574,1578,100,23583884,tcdd,100,1574,1578,en_ner_bc5cdr_md,1000
23584355,ethanol,1424,1431,100,23584355,ethanol,100,1424,1431,en_ner_bc5cdr_md,1000
23069375,rosiglitazone,0,13,100,23069375,rosiglitazone,100,0,13,en_ner_bc5cdr_md,1000
23613014,glucose,244,251,100,23613014,glucose,100,244,251,en_ner_bc5cdr_md,1000
23566059,resveratrol,802,813,100,23566059,resveratrol,100,802,813,en_ner_bc5cdr_md,1000
23109293,nitrite,953,960,100,23109293,nitrite,100,953,960,en_ner_bc5cdr_md,1000
23292302,calcium,861,868,100,23292302,calcium,100,861,868,en_ner_bc5cdr_md,1000
23122156,arginine,997,1005,100,23122156,arginine,100,997,1005,en_ner_bc5cdr_md,1000
23299190,curcumin,235,243,100,23299190,curcumin,100,235,243,en_ner_bc5cdr_md,1000
23340199,clfx,511,515,100,23340199,clfx,100,511,515,en_ner_bc5cdr_md,1000
23194536,ginsenosides,749,761,100,23194536,ginsenosides,100,749,761,en_ner_bc5cdr_md,1000
23200945,allyl alcohol,124,137,100,23200945,allyl alcohol,100,124,137,en_ner_bc5cdr_md,1000
23609961,aldehydes,436,445,100,23609961,aldehydes,100,436,445,en_ner_bc5cdr_md,1000
22491023,kynurenine,394,404,100,22491023,kynurenine,100,394,404,en_ner_bc5cdr_md,1000
23530013,glucose,1556,1563,100,23530013,glucose,100,1556,1563,en_ner_bc5cdr_md,1000
22820555,modafinil,1089,1098,100,22820555,modafinil,100,1089,1098,en_ner_bc5cdr_md,1000
23157633,dopamine,301,309,100,23157633,dopamine,100,301,309,en_ner_bc5cdr_md,1000
23200734,steroids,742,750,100,23200734,steroids,100,742,750,en_ner_bc5cdr_md,1000
23542439,allopregnanolone,839,855,100,23542439,allopregnanolone,100,839,855,en_ner_bc5cdr_md,1000
23639360,cholesterol,1000,1011,100,23639360,cholesterol,100,1000,1011,en_ner_bc5cdr_md,1000
23583884,tcdd,732,736,100,23583884,tcdd,100,732,736,en_ner_bc5cdr_md,1000
22400809,shikimic acid,308,321,100,22400809,shikimic acid,100,308,321,en_ner_bc5cdr_md,1000
23376120,nitric oxide,630,642,100,23376120,nitric oxide,100,630,642,en_ner_bc5cdr_md,1000
23643754,5 ht,1190,1194,100,23643754,5 ht,100,1190,1194,en_ner_bc5cdr_md,1000
