Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23178652,huh 7,415,420
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23148920,enos,1067,1071
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22607101,l dopa,1270,1276
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23553767,bone,2074,2078
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23578628,alternariol monomethyl,53,75
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23567961,tyrosine,832,840
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23377760,poliovirus,628,638
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22521499,ipscs,1534,1539
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23343976,cerebral,139,147
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22391569,mir 125b,726,734
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23576475,dopamine,274,282
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23601384,b12,874,877
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23294348,focal adhesion kinase,0,21
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23562928,prostaglandin d2,188,204
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23609961,aldehydes,436,445
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23621521,rpe cells,464,473
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23288947,stat6,1037,1042
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23395915,rifampin,806,814
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23125282,mouse lines,287,298
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23639362,th,678,680
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23419834,neuronal cell,470,483
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23347038,lysosomes,1047,1056
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23562928,hee,870,873
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22348279,oil,512,515
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23246471,es 2 tumor spheroids,1043,1063
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22936354,ano6,1103,1107
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23639434,nida,1900,1904
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23184315,da,1589,1591
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23220105,5 c triptorelin,968,983
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23601402,rtec,764,768
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23325849,chromatin,1352,1361
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23431112,abt 384,1671,1678
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23400749,aminoglycosides,1470,1485
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22391561,cam,1753,1756
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23385891,cell membrane,577,590
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23293839,glycine,867,874
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23281663,blood,379,384
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23455597,mice,1033,1037
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23623842,0 5mg kg day,60,72
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23178652,cip2a,1616,1621
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22422627,berberine,1181,1190
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23278273,anti gr 1 antibody,678,696
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23411264,gelatins,0,8
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23519077,liver,1611,1616
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23194508,oil,504,507
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22921427,verapamil,1073,1082
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23560542,dg,310,312
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23418073,nano zno,664,672
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23396144,cox 2,726,731
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23625907,fish erythrocytes,668,685
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22610968,leek,120,124
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22614005,lymph node,1406,1416
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23205610,wake promoting,19,33
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22580612,mitogen activated protein kinase kinase mek extracellular signal regulated kinase,532,615
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23588836,pdppt alt fn,148,160
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23522793,nuclear,546,553
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23307699,dihydroartemisinin,142,160
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23624292,bone,330,334
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23260348,brain,494,499
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23055538,2b1,490,493
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23323627,γ cd oei ss fa,585,599
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23325361,wnt,164,167
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23241369,glioma cell,1421,1432
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23538201,duodenum,1116,1124
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23444286,diclectin,710,719
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23451853,hydrogen fluoride,580,597
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23411237,ethyl carbamate,0,15
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23276136,brain,938,943
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23483103,mitochondrial,984,997
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23317432,surface,254,261
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23353656,siccayne,187,195
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23541437,selenium,797,805
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23323627,folic acid,445,455
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23090712,uv b,1106,1110
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23330546,bile acid,399,408
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23431964,sk n sh,456,463
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23200734,steroids,742,750
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23291061,buccal,533,539
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23578391,2mg kg day,352,362
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23288700,layer quantum,1625,1638
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23355539,axillary,573,581
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23065140,neurons,1829,1836
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23220105,plasma,1830,1836
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23274088,cellular,1175,1183
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23616476,intracellular lysosomes,507,530
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22918703,chop,1031,1035
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23561112,23 2 ,302,307
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23448281,human hgprt,310,321
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23274908,katp,165,169
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23103347,rats,614,618
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23396090,liposomal cddp,1572,1586
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23256622,lungs,505,510
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23148920,pi3k akt,1197,1205
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23603294,mmp 3,1024,1029
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22614005,mir 7,273,278
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23357416,rat hepatocytes,714,729
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23475068,vegf,274,278
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23123251,butyrylcholinesterase,264,285
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23122125,lung,64,68
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23294348,cellular fak,561,573
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22960442,nitric oxide,1308,1320
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23017395,fish oil,14,22
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23061396,sapp,55,59
en_ner_bionlp13cg_md,evaluation.abstracts,1000,22324400,rosaceae,52,60
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23194530,clo,667,670
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23411196,fused matrix,689,701
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23278273,cells,448,453
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23524313,cyp7a1,797,803
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23362116,k ,1519,1521
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23622980,glioma,32,38
en_ner_bionlp13cg_md,evaluation.abstracts,1000,23553342,cbps,1046,1050
