article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
22607101,l dopa,1270,1276,100,22607101,l dopa,100,1270,1276,en_ner_bionlp13cg_md,1000
23578628,alternariol monomethyl,53,75,88,23578628,alternariol monomethyl ether,88,53,81,en_ner_bionlp13cg_md,1000
23567961,tyrosine,832,840,100,23567961,tyrosine,100,832,840,en_ner_bionlp13cg_md,1000
23576475,dopamine,274,282,100,23576475,dopamine,100,274,282,en_ner_bionlp13cg_md,1000
23562928,prostaglandin d2,188,204,100,23562928,prostaglandin d2,100,188,204,en_ner_bionlp13cg_md,1000
23609961,aldehydes,436,445,100,23609961,aldehydes,100,436,445,en_ner_bionlp13cg_md,1000
23395915,rifampin,806,814,100,23395915,rifampin,100,806,814,en_ner_bionlp13cg_md,1000
23220105,5 c triptorelin,968,983,85,23220105,triptorelin,85,972,983,en_ner_bionlp13cg_md,1000
23431112,abt 384,1671,1678,100,23431112,abt 384,100,1671,1678,en_ner_bionlp13cg_md,1000
23400749,aminoglycosides,1470,1485,100,23400749,aminoglycosides,100,1470,1485,en_ner_bionlp13cg_md,1000
23293839,glycine,867,874,100,23293839,glycine,100,867,874,en_ner_bionlp13cg_md,1000
22422627,berberine,1181,1190,100,22422627,berberine,100,1181,1190,en_ner_bionlp13cg_md,1000
22921427,verapamil,1073,1082,100,22921427,verapamil,100,1073,1082,en_ner_bionlp13cg_md,1000
23418073,nano zno,664,672,14,23418073,carbon,14,674,680,en_ner_bionlp13cg_md,1000
23588836,pdppt alt fn,148,160,100,23588836,pdppt alt fn,100,148,160,en_ner_bionlp13cg_md,1000
23307699,dihydroartemisinin,142,160,100,23307699,dihydroartemisinin,100,142,160,en_ner_bionlp13cg_md,1000
23323627,γ cd oei ss fa,585,599,100,23323627,γ cd oei ss fa,100,585,599,en_ner_bionlp13cg_md,1000
23444286,diclectin,710,719,100,23444286,diclectin,100,710,719,en_ner_bionlp13cg_md,1000
23451853,hydrogen fluoride,580,597,100,23451853,hydrogen fluoride,100,580,597,en_ner_bionlp13cg_md,1000
23411237,ethyl carbamate,0,15,100,23411237,ethyl carbamate,100,0,15,en_ner_bionlp13cg_md,1000
23353656,siccayne,187,195,100,23353656,siccayne,100,187,195,en_ner_bionlp13cg_md,1000
23541437,selenium,797,805,100,23541437,selenium,100,797,805,en_ner_bionlp13cg_md,1000
23323627,folic acid,445,455,100,23323627,folic acid,100,445,455,en_ner_bionlp13cg_md,1000
23330546,bile acid,399,408,100,23330546,bile acid,100,399,408,en_ner_bionlp13cg_md,1000
