Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_craft_md,evaluation.abstracts,1000,23290487,insulin,655,662
en_ner_craft_md,evaluation.abstracts,1000,23578391,trs,589,592
en_ner_craft_md,evaluation.abstracts,1000,23317098,pro inflammatory cytokine ,447,474
en_ner_craft_md,evaluation.abstracts,1000,23123251,bche,1539,1543
en_ner_craft_md,evaluation.abstracts,1000,23462233,aox,420,423
en_ner_craft_md,evaluation.abstracts,1000,23594303,substance,203,212
en_ner_craft_md,evaluation.abstracts,1000,23274887,mice,840,844
en_ner_craft_md,evaluation.abstracts,1000,23116938,cells,1097,1102
en_ner_craft_md,evaluation.abstracts,1000,23116642,glutathione,747,758
en_ner_craft_md,evaluation.abstracts,1000,23155202,toxic,264,269
en_ner_craft_md,evaluation.abstracts,1000,23297161,monkey derived,1012,1026
en_ner_craft_md,evaluation.abstracts,1000,23263985,enzyme,584,590
en_ner_craft_md,evaluation.abstracts,1000,22961094,p65,863,866
en_ner_craft_md,evaluation.abstracts,1000,23545134,ache forms,1390,1400
en_ner_craft_md,evaluation.abstracts,1000,23632905,cry1,497,501
en_ner_craft_md,evaluation.abstracts,1000,23537500,cells,119,124
en_ner_craft_md,evaluation.abstracts,1000,23262270,mice,247,251
en_ner_craft_md,evaluation.abstracts,1000,23384287,gdo,409,412
en_ner_craft_md,evaluation.abstracts,1000,23246353,proteasome,343,353
en_ner_craft_md,evaluation.abstracts,1000,22940465,toxic,1120,1125
en_ner_craft_md,evaluation.abstracts,1000,23457020,monofluoroacetate,119,136
en_ner_craft_md,evaluation.abstracts,1000,23493259,s cerevisiae,1251,1264
en_ner_craft_md,evaluation.abstracts,1000,23557842,drug,588,592
en_ner_craft_md,evaluation.abstracts,1000,23432591,cellular,513,521
en_ner_craft_md,evaluation.abstracts,1000,23417652,58 congener polychlorinated,59,86
en_ner_craft_md,evaluation.abstracts,1000,23009351,drug,632,636
en_ner_craft_md,evaluation.abstracts,1000,23301856,cell,695,699
en_ner_craft_md,evaluation.abstracts,1000,23148227,suppressor p53,21,35
en_ner_craft_md,evaluation.abstracts,1000,23065140,neurons,1070,1077
en_ner_craft_md,evaluation.abstracts,1000,23624148,antimycin a,853,864
en_ner_craft_md,evaluation.abstracts,1000,23350737,escherichia coli,275,291
en_ner_craft_md,evaluation.abstracts,1000,23355539,epidermal growth factor receptor egfr human epidermal growth factor receptor 2,18,98
en_ner_craft_md,evaluation.abstracts,1000,23500779,2 2 4 4 5 5 hexachlorobiphenyl pcb 153,252,293
en_ner_craft_md,evaluation.abstracts,1000,23244295,cell,955,959
en_ner_craft_md,evaluation.abstracts,1000,23591845,pvpho2,491,497
en_ner_craft_md,evaluation.abstracts,1000,23455597,human,1615,1620
en_ner_craft_md,evaluation.abstracts,1000,23298867,transcript variants,787,806
en_ner_craft_md,evaluation.abstracts,1000,23077183,igf1,1424,1428
en_ner_craft_md,evaluation.abstracts,1000,23376996,animals,1389,1396
en_ner_craft_md,evaluation.abstracts,1000,23399882,ethanol,492,499
en_ner_craft_md,evaluation.abstracts,1000,23010104,osteoclasts,85,96
en_ner_craft_md,evaluation.abstracts,1000,23123257,replacement,1234,1245
en_ner_craft_md,evaluation.abstracts,1000,23239882,membrane,793,801
en_ner_craft_md,evaluation.abstracts,1000,23584355,ethanol,1424,1431
en_ner_craft_md,evaluation.abstracts,1000,22417089,stem bark,46,55
en_ner_craft_md,evaluation.abstracts,1000,23069375,rosiglitazone,0,13
en_ner_craft_md,evaluation.abstracts,1000,23274908,fragments,613,622
en_ner_craft_md,evaluation.abstracts,1000,23468189,sdf 1,38,43
en_ner_craft_md,evaluation.abstracts,1000,23500536,l amino acid oxidase,1515,1535
en_ner_craft_md,evaluation.abstracts,1000,23148920,intracellular,241,254
en_ner_craft_md,evaluation.abstracts,1000,23613014,glucose,244,251
en_ner_craft_md,evaluation.abstracts,1000,23350725,human beta cell,733,748
en_ner_craft_md,evaluation.abstracts,1000,23581551,sert,391,395
en_ner_craft_md,evaluation.abstracts,1000,23419834,nrf2,512,516
en_ner_craft_md,evaluation.abstracts,1000,23288094,regions,153,160
en_ner_craft_md,evaluation.abstracts,1000,22370641,cells,1338,1343
en_ner_craft_md,evaluation.abstracts,1000,23292302,calcium,861,868
en_ner_craft_md,evaluation.abstracts,1000,23122156,arginine,997,1005
en_ner_craft_md,evaluation.abstracts,1000,23209194,p gp,590,594
en_ner_craft_md,evaluation.abstracts,1000,23411226,phenolic compounds,475,493
en_ner_craft_md,evaluation.abstracts,1000,23603194,stem bark,333,342
en_ner_craft_md,evaluation.abstracts,1000,23075005,bcrp,1252,1256
en_ner_craft_md,evaluation.abstracts,1000,23122098,compound,1034,1042
en_ner_craft_md,evaluation.abstracts,1000,23643093,methanol,108,116
en_ner_craft_md,evaluation.abstracts,1000,23604334,rats,444,448
en_ner_craft_md,evaluation.abstracts,1000,22982684,gbx2,800,804
en_ner_craft_md,evaluation.abstracts,1000,23411207,water,105,110
en_ner_craft_md,evaluation.abstracts,1000,23500062,drug,105,109
en_ner_craft_md,evaluation.abstracts,1000,23625910,ache,312,316
en_ner_craft_md,evaluation.abstracts,1000,22317828, ,1024,1025
en_ner_craft_md,evaluation.abstracts,1000,23253260,jurkat cells,726,738
en_ner_craft_md,evaluation.abstracts,1000,23358196,mirnas,397,403
en_ner_craft_md,evaluation.abstracts,1000,23081760,gene,804,808
en_ner_craft_md,evaluation.abstracts,1000,23111283,cells,171,176
en_ner_craft_md,evaluation.abstracts,1000,23123257,plasmid,1249,1256
en_ner_craft_md,evaluation.abstracts,1000,23524313,genes,1057,1062
en_ner_craft_md,evaluation.abstracts,1000,23632905,rats,1337,1341
en_ner_craft_md,evaluation.abstracts,1000,23211868,cells,30,35
en_ner_craft_md,evaluation.abstracts,1000,23609961,aldehydes,436,445
en_ner_craft_md,evaluation.abstracts,1000,23433811,photoproducts,746,759
en_ner_craft_md,evaluation.abstracts,1000,23233535,virus,108,113
en_ner_craft_md,evaluation.abstracts,1000,22491023,kynurenine,394,404
en_ner_craft_md,evaluation.abstracts,1000,23522793,dna,55,58
en_ner_craft_md,evaluation.abstracts,1000,23128355,electron,528,536
en_ner_craft_md,evaluation.abstracts,1000,23530013,glucose,1556,1563
en_ner_craft_md,evaluation.abstracts,1000,23298241,nuclei,171,177
en_ner_craft_md,evaluation.abstracts,1000,23261677,cell,1271,1275
en_ner_craft_md,evaluation.abstracts,1000,22982684,pou5f1,813,819
en_ner_craft_md,evaluation.abstracts,1000,23297254,pesticide,193,202
en_ner_craft_md,evaluation.abstracts,1000,23157633,dopamine,301,309
en_ner_craft_md,evaluation.abstracts,1000,22975162,alkaloids,131,140
en_ner_craft_md,evaluation.abstracts,1000,23271732,intragenic suppressors,1026,1048
en_ner_craft_md,evaluation.abstracts,1000,23483189,cell,236,240
en_ner_craft_md,evaluation.abstracts,1000,22294440,oxygen species,325,339
en_ner_craft_md,evaluation.abstracts,1000,23142710,l selectin,1668,1678
en_ner_craft_md,evaluation.abstracts,1000,23454016,compounds,161,170
en_ner_craft_md,evaluation.abstracts,1000,23417652,cardiomyocyte,1677,1690
en_ner_craft_md,evaluation.abstracts,1000,23506002,prodrugs,220,228
en_ner_craft_md,evaluation.abstracts,1000,23583806,ho 1,1087,1091
en_ner_craft_md,evaluation.abstracts,1000,23298867,gene,889,893
en_ner_craft_md,evaluation.abstracts,1000,23604334,rats,576,580
en_ner_craft_md,evaluation.abstracts,1000,23639360,cholesterol,1000,1011
en_ner_craft_md,evaluation.abstracts,1000,23583883,mutant superoxide dismutase,1488,1515
en_ner_craft_md,evaluation.abstracts,1000,23317098,molecular,2474,2483
en_ner_craft_md,evaluation.abstracts,1000,23219002,kir6 2 channel,869,883
en_ner_craft_md,evaluation.abstracts,1000,23519881,ccaat enhancer binding protein α,1159,1191
en_ner_craft_md,evaluation.abstracts,1000,23288142,protein,603,610
en_ner_craft_md,evaluation.abstracts,1000,23246792,wt,1373,1375
en_ner_craft_md,evaluation.abstracts,1000,23643094,nrf2,754,758
en_ner_craft_md,evaluation.abstracts,1000,23142425,metabolites,246,257
en_ner_craft_md,evaluation.abstracts,1000,23246353,ubiquitin proteasome,166,186
en_ner_craft_md,evaluation.abstracts,1000,23256472,epo,450,453
en_ner_craft_md,evaluation.abstracts,1000,23288947,monocytes,1147,1156
en_ner_craft_md,evaluation.abstracts,1000,23585769,vesicles,838,846
en_ner_craft_md,evaluation.abstracts,1000,23363020,enzyme,702,708
en_ner_craft_md,evaluation.abstracts,1000,23523560,5 ht1ar,926,933
en_ner_craft_md,evaluation.abstracts,1000,22400809,shikimic acid,308,321
en_ner_craft_md,evaluation.abstracts,1000,23519149,cells,704,709
en_ner_craft_md,evaluation.abstracts,1000,23271000,triglycerides,1468,1481
en_ner_craft_md,evaluation.abstracts,1000,23519077,chromosomal passenger complex,4,33
en_ner_craft_md,evaluation.abstracts,1000,23632905,e4bp4,526,531
en_ner_craft_md,evaluation.abstracts,1000,23639869,microvilli,416,426
en_ner_craft_md,evaluation.abstracts,1000,22083351,breast cancer cell,335,353
en_ner_craft_md,evaluation.abstracts,1000,23583806,hrge,854,858
