article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23116642,glutathione,747,758,100,23116642,glutathione,100,747,758,en_ner_craft_md,1000
22940465,toxic,1120,1125,18,22940465,lilial,18,1110,1116,en_ner_craft_md,1000
23457020,monofluoroacetate,119,136,100,23457020,monofluoroacetate,100,119,136,en_ner_craft_md,1000
23417652,58 congener polychlorinated,59,86,59,23417652,polychlorinated biphenyl,59,55,79,en_ner_craft_md,1000
23624148,antimycin a,853,864,100,23624148,antimycin a,100,853,864,en_ner_craft_md,1000
23500779,2 2 4 4 5 5 hexachlorobiphenyl pcb 153,252,293,88,23500779,2 2 4 4 5 5 hexachlorobiphenyl,88,252,285,en_ner_craft_md,1000
23399882,ethanol,492,499,100,23399882,ethanol,100,492,499,en_ner_craft_md,1000
23584355,ethanol,1424,1431,100,23584355,ethanol,100,1424,1431,en_ner_craft_md,1000
23069375,rosiglitazone,0,13,100,23069375,rosiglitazone,100,0,13,en_ner_craft_md,1000
23500536,l amino acid oxidase,1515,1535,75,23500536,l amino acid,75,1515,1527,en_ner_craft_md,1000
23613014,glucose,244,251,100,23613014,glucose,100,244,251,en_ner_craft_md,1000
23292302,calcium,861,868,100,23292302,calcium,100,861,868,en_ner_craft_md,1000
23122156,arginine,997,1005,100,23122156,arginine,100,997,1005,en_ner_craft_md,1000
23411226,phenolic compounds,475,493,62,23411226,phenolic,62,475,483,en_ner_craft_md,1000
23643093,methanol,108,116,100,23643093,methanol,100,108,116,en_ner_craft_md,1000
23609961,aldehydes,436,445,100,23609961,aldehydes,100,436,445,en_ner_craft_md,1000
22491023,kynurenine,394,404,100,22491023,kynurenine,100,394,404,en_ner_craft_md,1000
23530013,glucose,1556,1563,100,23530013,glucose,100,1556,1563,en_ner_craft_md,1000
23157633,dopamine,301,309,100,23157633,dopamine,100,301,309,en_ner_craft_md,1000
22294440,oxygen species,325,339,60,22294440,oxygen,60,325,331,en_ner_craft_md,1000
23639360,cholesterol,1000,1011,100,23639360,cholesterol,100,1000,1011,en_ner_craft_md,1000
23583883,mutant superoxide dismutase,1488,1515,54,23583883,superoxide,54,1495,1505,en_ner_craft_md,1000
22400809,shikimic acid,308,321,100,22400809,shikimic acid,100,308,321,en_ner_craft_md,1000
23271000,triglycerides,1468,1481,100,23271000,triglycerides,100,1468,1481,en_ner_craft_md,1000
23274908,katp,165,169,100,23274908,katp,100,165,169,en_ner_craft_md,1000
23318728,trans 3 hydroxycotinine,656,680,100,23318728,trans 3 hydroxycotinine,100,656,680,en_ner_craft_md,1000
23553997,ethanol,601,608,100,23553997,ethanol,100,601,608,en_ner_craft_md,1000
23450741,shikimic acid,264,277,100,23450741,shikimic acid,100,264,277,en_ner_craft_md,1000
23411261,urea,444,448,100,23411261,urea,100,444,448,en_ner_craft_md,1000
23290487,glucose,544,551,100,23290487,glucose,100,544,551,en_ner_craft_md,1000
23075005, 14 c anagliptin,164,181,100,23075005, 14 c anagliptin,100,164,181,en_ner_craft_md,1000
23219524,mtsea,574,579,100,23219524,mtsea,100,574,579,en_ner_craft_md,1000
23430161,alcohol,878,885,100,23430161,alcohol,100,878,885,en_ner_craft_md,1000
23396144,prostaglandin e2,923,939,100,23396144,prostaglandin e2,100,923,939,en_ner_craft_md,1000
23544460,cross coupling,0,14,20,23544460,nickel,20,0,6,en_ner_craft_md,1000
23409715,acetyl,274,280,100,23409715,acetyl,100,274,280,en_ner_craft_md,1000
22512662,acid a,218,224,57,22512662,hyptatic acid a,57,209,224,en_ner_craft_md,1000
23291240,24s hydroxycholesterol,1426,1448,100,23291240,24s hydroxycholesterol,100,1426,1448,en_ner_craft_md,1000
23271000,glucose,556,563,100,23271000,glucose,100,556,563,en_ner_craft_md,1000
22473789,n alkylamides,723,736,100,22473789,n alkylamides,100,723,736,en_ner_craft_md,1000
23142425,nnal,1052,1056,100,23142425,nnal,100,1052,1056,en_ner_craft_md,1000
23471540,zinc,364,368,100,23471540,zinc,100,364,368,en_ner_craft_md,1000
23271000,cholesterol,1445,1456,100,23271000,cholesterol,100,1445,1456,en_ner_craft_md,1000
23219002,atp,1005,1008,100,23219002,atp,100,1005,1008,en_ner_craft_md,1000
22376270,acarbose,784,792,100,22376270,acarbose,100,784,792,en_ner_craft_md,1000
23468189,sulfonamides,249,261,83,23468189,aryl sulfonamides,83,244,261,en_ner_craft_md,1000
23017394,betulinic acid,340,354,100,23017394,betulinic acid,100,340,354,en_ner_craft_md,1000
23288142,docosahexaenoic acid,216,236,100,23288142,docosahexaenoic acid,100,216,236,en_ner_craft_md,1000
23171137,levulinate,368,378,100,23171137,levulinate,100,368,378,en_ner_craft_md,1000
22233192,ala,557,560,100,22233192,ala,100,557,560,en_ner_craft_md,1000
22607101,l dopa,36,42,100,22607101,l dopa,100,36,42,en_ner_craft_md,1000
23211426,cholesterol,1027,1038,100,23211426,cholesterol,100,1027,1038,en_ner_craft_md,1000
23583806,allicin,1183,1190,100,23583806,allicin,100,1183,1190,en_ner_craft_md,1000
23561153,naoh,164,168,100,23561153,naoh,100,164,168,en_ner_craft_md,1000
23537600,mc rr,898,903,100,23537600,mc rr,100,898,903,en_ner_craft_md,1000
23069375,rosi,1416,1420,100,23069375,rosi,100,1416,1420,en_ner_craft_md,1000
23219524,tm4 cysteine mutants,897,917,57,23219524,cysteine,57,901,909,en_ner_craft_md,1000
23410221,ethephon,27,35,100,23410221,ethephon,100,27,35,en_ner_craft_md,1000
23313711,glutathione,1017,1028,100,23313711,glutathione,100,1017,1028,en_ner_craft_md,1000
23178652,okadaic acid,1010,1022,100,23178652,okadaic acid,100,1010,1022,en_ner_craft_md,1000
23524313,cholesterol,199,210,100,23524313,cholesterol,100,199,210,en_ner_craft_md,1000
23645211,cd,1596,1598,100,23645211,cd,100,1596,1598,en_ner_craft_md,1000
23636270,vitamin e,1360,1369,100,23636270,vitamin e,100,1360,1369,en_ner_craft_md,1000
23274058,jaceosidin,0,10,100,23274058,jaceosidin,100,0,10,en_ner_craft_md,1000
23639362,mice,1027,1031,25,23639362,mptp,25,1033,1037,en_ner_craft_md,1000
23313711,thiols,436,442,100,23313711,thiols,100,436,442,en_ner_craft_md,1000
23630169,fullerene,108,117,100,23630169,fullerene,100,108,117,en_ner_craft_md,1000
23383865,dppv,916,920,100,23383865,dppv,100,916,920,en_ner_craft_md,1000
23126604,pluronic,1063,1071,100,23126604,pluronic,100,1063,1071,en_ner_craft_md,1000
23157624,dopamine,350,358,100,23157624,dopamine,100,350,358,en_ner_craft_md,1000
23194536,ginsenoside f1 and,1057,1075,88,23194536,ginsenoside f1,88,1057,1071,en_ner_craft_md,1000
23557092,dox,701,704,100,23557092,dox,100,701,704,en_ner_craft_md,1000
22906567,vitamin a,151,160,64,22906567,vitamin a palmitate,64,151,170,en_ner_craft_md,1000
23103450,arsenic trioxide,411,427,100,23103450,arsenic trioxide,100,411,427,en_ner_craft_md,1000
23202249,triglyceride,535,547,100,23202249,triglyceride,100,535,547,en_ner_craft_md,1000
23291240,24s hydroxycholesterol,900,922,100,23291240,24s hydroxycholesterol,100,900,922,en_ner_craft_md,1000
23541437,mercury,332,339,100,23541437,mercury,100,332,339,en_ner_craft_md,1000
23313711,histidine,735,744,100,23313711,histidine,100,735,744,en_ner_craft_md,1000
23330546,acids,5,10,67,23330546,bile acids,67,0,10,en_ner_craft_md,1000
23122096,fatty acid chain,80,96,77,23122096,fatty acid,77,80,90,en_ner_craft_md,1000
23291240,cholesterol,594,605,100,23291240,cholesterol,100,594,605,en_ner_craft_md,1000
23066089,calcium,589,596,100,23066089,calcium,100,589,596,en_ner_craft_md,1000
23567961,tyrosine kinases,832,848,67,23567961,tyrosine,67,832,840,en_ner_craft_md,1000
23457020,monofluoroacetate,1116,1133,100,23457020,monofluoroacetate,100,1116,1133,en_ner_craft_md,1000
23494186,statins,164,171,14,23494186,hmg coa,14,173,180,en_ner_craft_md,1000
23396446,protocatechuate,820,835,100,23396446,protocatechuate,100,820,835,en_ner_craft_md,1000
22317828, propylene glycol,822,840,97,22317828,propylene glycol,97,824,840,en_ner_craft_md,1000
23353735,benzohydrazides,172,187,100,23353735,benzohydrazides,100,172,187,en_ner_craft_md,1000
23624148,oxygen species,1032,1046,60,23624148,oxygen,60,1032,1038,en_ner_craft_md,1000
23220749,apomorphine,199,210,100,23220749,apomorphine,100,199,210,en_ner_craft_md,1000
23270514,nitrogen,381,389,100,23270514,nitrogen,100,381,389,en_ner_craft_md,1000
23469757,1 8 diaminooctane,1119,1136,100,23469757,1 8 diaminooctane,100,1119,1136,en_ner_craft_md,1000
23470196,lmw tga,705,712,60,23470196,tga,60,709,712,en_ner_craft_md,1000
23357416,silica,483,489,100,23357416,silica,100,483,489,en_ner_craft_md,1000
23428346,3 nitrotyrosine,1324,1339,100,23428346,3 nitrotyrosine,100,1324,1339,en_ner_craft_md,1000
23566059,1 1 diphenyl 2 picrylhydrazyl radical,462,499,88,23566059,1 1 diphenyl 2 picrylhydrazyl,88,462,491,en_ner_craft_md,1000
23410221,bche,896,900,25,23410221,hpo3,25,888,892,en_ner_craft_md,1000
23523831,nerolidol,600,609,100,23523831,nerolidol,100,600,609,en_ner_craft_md,1000
23375796,alkylides,833,842,100,23375796,alkylides,100,833,842,en_ner_craft_md,1000
22610968,monosulfide,503,514,73,22610968,diallyl monosulfide,73,495,514,en_ner_craft_md,1000
23228849,glycol,441,447,22,23228849,peg,22,450,453,en_ner_craft_md,1000
23523831,nerolidol,936,945,100,23523831,nerolidol,100,936,945,en_ner_craft_md,1000
23273517,trifluoromethyl,219,234,100,23273517,trifluoromethyl,100,219,234,en_ner_craft_md,1000
