Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_jnlpba_md,evaluation.abstracts,1000,23376478,hey1b cells,927,938
en_ner_jnlpba_md,evaluation.abstracts,1000,22614005,mir 7,1127,1132
en_ner_jnlpba_md,evaluation.abstracts,1000,23535146,pcra,691,695
en_ner_jnlpba_md,evaluation.abstracts,1000,23517733,position 6,205,215
en_ner_jnlpba_md,evaluation.abstracts,1000,23317008,m 3 machr,1144,1154
en_ner_jnlpba_md,evaluation.abstracts,1000,23624148,alkaline phosphatase,296,316
en_ner_jnlpba_md,evaluation.abstracts,1000,23479733,c terminal domain,1137,1154
en_ner_jnlpba_md,evaluation.abstracts,1000,23348497,aldh16a1 2,254,264
en_ner_jnlpba_md,evaluation.abstracts,1000,23055538,erα,1429,1432
en_ner_jnlpba_md,evaluation.abstracts,1000,23378625,serum albumin,1288,1301
en_ner_jnlpba_md,evaluation.abstracts,1000,23515291,igfbp 2,82,89
en_ner_jnlpba_md,evaluation.abstracts,1000,23454527,dep,1542,1545
en_ner_jnlpba_md,evaluation.abstracts,1000,23178652,cip2a,928,933
en_ner_jnlpba_md,evaluation.abstracts,1000,23261677,skn,357,360
en_ner_jnlpba_md,evaluation.abstracts,1000,23355539,epidermal growth factor receptor 2 her2 kinase,64,112
en_ner_jnlpba_md,evaluation.abstracts,1000,23205707,yopk,505,509
en_ner_jnlpba_md,evaluation.abstracts,1000,23333577,target genes,1181,1193
en_ner_jnlpba_md,evaluation.abstracts,1000,23271000,superoxide dismutase,1333,1353
en_ner_jnlpba_md,evaluation.abstracts,1000,23360430,nrf1,517,521
en_ner_jnlpba_md,evaluation.abstracts,1000,23542439,pr,1619,1621
en_ner_jnlpba_md,evaluation.abstracts,1000,23055538,ugts,1106,1110
en_ner_jnlpba_md,evaluation.abstracts,1000,22083351,histone deacetylase,137,156
en_ner_jnlpba_md,evaluation.abstracts,1000,23500490,binuclear zinc binding structural motifs,1154,1194
en_ner_jnlpba_md,evaluation.abstracts,1000,23180160,on123300,404,412
en_ner_jnlpba_md,evaluation.abstracts,1000,23537377,peptide lps complexes,1105,1126
en_ner_jnlpba_md,evaluation.abstracts,1000,23581551,mpo,832,835
en_ner_jnlpba_md,evaluation.abstracts,1000,23643094,u nx,530,534
en_ner_jnlpba_md,evaluation.abstracts,1000,23584554,proteasomal cleavage sites,970,996
en_ner_jnlpba_md,evaluation.abstracts,1000,23323627,γ cd oei ss fa gene,1177,1196
en_ner_jnlpba_md,evaluation.abstracts,1000,23125282,human artificial chromosome,465,492
en_ner_jnlpba_md,evaluation.abstracts,1000,23305949,top1,849,853
en_ner_jnlpba_md,evaluation.abstracts,1000,23417652,gallus domesticus ,9,27
en_ner_jnlpba_md,evaluation.abstracts,1000,23360348,covalent inhibitor 3,101,121
en_ner_jnlpba_md,evaluation.abstracts,1000,23591043,mcms,426,430
en_ner_jnlpba_md,evaluation.abstracts,1000,23394205,az20,408,412
en_ner_jnlpba_md,evaluation.abstracts,1000,23517733,leukemia l 1210 cells,883,904
en_ner_jnlpba_md,evaluation.abstracts,1000,23148227,runx1,1284,1289
en_ner_jnlpba_md,evaluation.abstracts,1000,23637074,votfts,40,46
en_ner_jnlpba_md,evaluation.abstracts,1000,23207250,cervical cancer cells,210,231
en_ner_jnlpba_md,evaluation.abstracts,1000,23125282,human cyp3a cluster,319,338
en_ner_jnlpba_md,evaluation.abstracts,1000,23116642,superoxide dismutase,763,783
en_ner_jnlpba_md,evaluation.abstracts,1000,23233535,gp41,73,77
en_ner_jnlpba_md,evaluation.abstracts,1000,23625910,pon1,732,736
en_ner_jnlpba_md,evaluation.abstracts,1000,23127917,nadph oxidase subunit,1050,1071
en_ner_jnlpba_md,evaluation.abstracts,1000,23044488,human serum butyrylcholinesterase,0,33
en_ner_jnlpba_md,evaluation.abstracts,1000,23641942,non viral gene,43,57
en_ner_jnlpba_md,evaluation.abstracts,1000,23200945,substrate binding site,1309,1331
en_ner_jnlpba_md,evaluation.abstracts,1000,23282222,ag nanoclusters,854,869
en_ner_jnlpba_md,evaluation.abstracts,1000,23220400,mglu2,1980,1985
en_ner_jnlpba_md,evaluation.abstracts,1000,23340887,resultswe,898,907
en_ner_jnlpba_md,evaluation.abstracts,1000,22324431,hl60 cells,515,525
en_ner_jnlpba_md,evaluation.abstracts,1000,23539510,human insl3,260,271
en_ner_jnlpba_md,evaluation.abstracts,1000,23545134,ache,614,618
en_ner_jnlpba_md,evaluation.abstracts,1000,23395667,gfs,1835,1838
en_ner_jnlpba_md,evaluation.abstracts,1000,23099431,ghrp 6,0,6
en_ner_jnlpba_md,evaluation.abstracts,1000,23560542,c8 linked guanine adduct,38,62
en_ner_jnlpba_md,evaluation.abstracts,1000,23591579,atf2,1100,1104
en_ner_jnlpba_md,evaluation.abstracts,1000,23617585,lps1,833,837
en_ner_jnlpba_md,evaluation.abstracts,1000,23122138,lactoperoxidase,485,500
en_ner_jnlpba_md,evaluation.abstracts,1000,23411599,cell cycle proteins,931,950
en_ner_jnlpba_md,evaluation.abstracts,1000,22766107,pancreatic beta cell,346,366
en_ner_jnlpba_md,evaluation.abstracts,1000,23645211,catalase,1097,1105
en_ner_jnlpba_md,evaluation.abstracts,1000,23539510,timp1,1227,1232
en_ner_jnlpba_md,evaluation.abstracts,1000,23640180,oat1,267,271
en_ner_jnlpba_md,evaluation.abstracts,1000,23419834,inos,798,802
en_ner_jnlpba_md,evaluation.abstracts,1000,23530057,zap 70,50,56
en_ner_jnlpba_md,evaluation.abstracts,1000,23321274,implants,1544,1552
en_ner_jnlpba_md,evaluation.abstracts,1000,23470866,mcf7 adr cells,341,355
en_ner_jnlpba_md,evaluation.abstracts,1000,23411262,rs,460,462
en_ner_jnlpba_md,evaluation.abstracts,1000,23241369,cyclin d1,367,376
en_ner_jnlpba_md,evaluation.abstracts,1000,23643194,cytokines,323,332
en_ner_jnlpba_md,evaluation.abstracts,1000,23155049,gsk 3 isozymes,428,442
en_ner_jnlpba_md,evaluation.abstracts,1000,23074026,h295r cell,488,498
en_ner_jnlpba_md,evaluation.abstracts,1000,23160820,rbck1,1196,1201
en_ner_jnlpba_md,evaluation.abstracts,1000,23215012,three phase,445,456
en_ner_jnlpba_md,evaluation.abstracts,1000,23454527,nf κb ,1329,1335
en_ner_jnlpba_md,evaluation.abstracts,1000,22884520,lxr dependent gene,582,600
en_ner_jnlpba_md,evaluation.abstracts,1000,23640180,pkc alpha,703,712
en_ner_jnlpba_md,evaluation.abstracts,1000,23142737,aqp4,1006,1010
en_ner_jnlpba_md,evaluation.abstracts,1000,23123251,eohs,616,620
en_ner_jnlpba_md,evaluation.abstracts,1000,23174265,cortical 5 ht 2a receptors,192,219
en_ner_jnlpba_md,evaluation.abstracts,1000,23581551,mpo,107,110
en_ner_jnlpba_md,evaluation.abstracts,1000,23362271,viral envelope proteins,140,163
en_ner_jnlpba_md,evaluation.abstracts,1000,23210706,acetonide protected catechol initiator 2 2 dimethyl 1 3 benzodioxole 5 propanol,492,571
en_ner_jnlpba_md,evaluation.abstracts,1000,23640662,zno films,271,280
en_ner_jnlpba_md,evaluation.abstracts,1000,23376407,alkaline phosphatase,307,327
en_ner_jnlpba_md,evaluation.abstracts,1000,23319180,iqmol,1359,1364
en_ner_jnlpba_md,evaluation.abstracts,1000,23454149,p akt,987,992
en_ner_jnlpba_md,evaluation.abstracts,1000,23337530,smc,1387,1390
en_ner_jnlpba_md,evaluation.abstracts,1000,23408272,tyrosinase,1189,1199
