article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23261677,skn,357,360,100,23261677,skn,100,357,360,en_ner_jnlpba_md,1000
23271000,superoxide dismutase,1333,1353,67,23271000,superoxide,67,1333,1343,en_ner_jnlpba_md,1000
23180160,on123300,404,412,100,23180160,on123300,100,404,412,en_ner_jnlpba_md,1000
23323627,γ cd oei ss fa gene,1177,1196,85,23323627,γ cd oei ss fa,85,1177,1191,en_ner_jnlpba_md,1000
23394205,az20,408,412,100,23394205,az20,100,408,412,en_ner_jnlpba_md,1000
23116642,superoxide dismutase,763,783,67,23116642,superoxide,67,763,773,en_ner_jnlpba_md,1000
23099431,ghrp 6,0,6,100,23099431,ghrp 6,100,0,6,en_ner_jnlpba_md,1000
23560542,c8 linked guanine adduct,38,62,45,23560542,guanine,45,48,55,en_ner_jnlpba_md,1000
23640662,zno films,271,280,50,23640662,zno,50,271,274,en_ner_jnlpba_md,1000
23220400,mdcpg,939,944,100,23220400,mdcpg,100,939,944,en_ner_jnlpba_md,1000
23009351,plu 14 paa 0 75 epi,412,433,27,23009351,paa,27,420,423,en_ner_jnlpba_md,1000
23455461,ag,52,54,100,23455461,ag,100,52,54,en_ner_jnlpba_md,1000
23639875,pge2 receptors,697,711,44,23639875,pge2,44,697,701,en_ner_jnlpba_md,1000
23432591,atp synthase,38,50,40,23432591,atp,40,38,41,en_ner_jnlpba_md,1000
23584554,c terminus,914,924,18,23584554,c,18,914,915,en_ner_jnlpba_md,1000
23159663,acv,573,576,100,23159663,acv,100,573,576,en_ner_jnlpba_md,1000
23545134,cpf,1518,1521,100,23545134,cpf,100,1518,1521,en_ner_jnlpba_md,1000
23263985,methyl cpg sites,1093,1109,32,23263985,cpg,32,1100,1103,en_ner_jnlpba_md,1000
23454202,superoxide dismutase,773,793,67,23454202,superoxide,67,773,783,en_ner_jnlpba_md,1000
