article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23153322,ablation,183,191,36,23153322,rai,36,179,182,en_core_sci_md,1000
23214714,co 2 ,154,159,100,23214714,co 2 ,100,154,159,en_core_sci_md,1000
23012257,l 14 c cystine,733,749,100,23012257,l 14 c cystine,100,733,749,en_core_sci_md,1000
23122155,fraction,709,717,46,23122155,acoet,46,702,707,en_core_sci_md,1000
23207328,oleic acid,1270,1280,100,23207328,oleic acid,100,1270,1280,en_core_sci_md,1000
23246531,knt 127,697,704,100,23246531,knt 127,100,697,704,en_core_sci_md,1000
23246700,dnbp,919,923,100,23246700,dnbp,100,919,923,en_core_sci_md,1000
23205778,benzothiazole,958,971,100,23205778,benzothiazole,100,958,971,en_core_sci_md,1000
22397600,nimesulide,241,251,100,22397600,nimesulide,100,241,251,en_core_sci_md,1000
23147715,h 2 o 2 ,981,989,100,23147715,h 2 o 2 ,100,981,989,en_core_sci_md,1000
23042728,vpa,604,607,100,23042728,vpa,100,604,607,en_core_sci_md,1000
22760156,lanthanide centres,28,46,71,22760156,lanthanide,71,28,38,en_core_sci_md,1000
23232150,estradiol,171,180,100,23232150,estradiol,100,171,180,en_core_sci_md,1000
23234537,carbon nanotube,732,747,57,23234537,carbon,57,732,738,en_core_sci_md,1000
23118019,in vivo,1222,1229,17,23118019,5 amn,17,1231,1237,en_core_sci_md,1000
23200006,graphite carbon electrode,90,115,39,23200006,carbon,39,99,105,en_core_sci_md,1000
23000442,phenacetin,469,479,100,23000442,phenacetin,100,469,479,en_core_sci_md,1000
23147567,pyrene,739,745,100,23147567,pyrene,100,739,745,en_core_sci_md,1000
23141425,egcg,1468,1472,100,23141425,egcg,100,1468,1472,en_core_sci_md,1000
23060096,pt 48 pd 52 fe 3 o 4 tmb kit,248,278,86,23060096,pt 48 pd 52 fe 3 o 4 ,86,248,270,en_core_sci_md,1000
23047024,tabun k048,863,873,67,23047024,tabun,67,863,868,en_core_sci_md,1000
23123743,pp2,849,852,100,23123743,pp2,100,849,852,en_core_sci_md,1000
23219778,meoh,748,752,100,23219778,meoh,100,748,752,en_core_sci_md,1000
23055453,hcl,571,574,100,23055453,hcl,100,571,574,en_core_sci_md,1000
23146765,induced,1344,1351,15,23146765,ccl 4 ,15,1337,1343,en_core_sci_md,1000
23071106,bisindolylmaleimide i,1469,1490,100,23071106,bisindolylmaleimide i,100,1469,1490,en_core_sci_md,1000
22956630,butylparaben,918,930,100,22956630,butylparaben,100,918,930,en_core_sci_md,1000
22579656,thdoc,760,765,100,22579656,thdoc,100,760,765,en_core_sci_md,1000
