article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
22516666,co 2,1468,1472,89,22516666,co 2 ,89,1468,1473,en_core_sci_sm,1000
23017404,sucrose,414,421,100,23017404,sucrose,100,414,421,en_core_sci_sm,1000
22766394,modafinil displayed,1572,1591,64,22766394,modafinil,64,1572,1581,en_core_sci_sm,1000
23194750,ly294002,1212,1220,100,23194750,ly294002,100,1212,1220,en_core_sci_sm,1000
23047912,l bmaa,46,52,100,23047912,l bmaa,100,46,52,en_core_sci_sm,1000
23063590,artemisinic acid,724,740,100,23063590,artemisinic acid,100,724,740,en_core_sci_sm,1000
22820275,rats,1038,1042,57,22820275,atm,57,1044,1047,en_core_sci_sm,1000
23211364,candesartan,1151,1162,100,23211364,candesartan,100,1151,1162,en_core_sci_sm,1000
23095244,ecstasy,397,404,100,23095244,ecstasy,100,397,404,en_core_sci_sm,1000
23183532,sulfide,1204,1211,100,23183532,sulfide,100,1204,1211,en_core_sci_sm,1000
23214714,py co 2,1504,1511,93,23214714,py co 2 ,93,1504,1512,en_core_sci_sm,1000
23207166,misoprostol,930,941,100,23207166,misoprostol,100,930,941,en_core_sci_sm,1000
23220589,oximes,1213,1219,100,23220589,oximes,100,1213,1219,en_core_sci_sm,1000
22628017,pyruvate plus,356,369,76,22628017,pyruvate,76,356,364,en_core_sci_sm,1000
23122060,q3g,142,145,100,23122060,q3g,100,142,145,en_core_sci_sm,1000
22986456,total cholesterol,1247,1264,79,22986456,cholesterol,79,1253,1264,en_core_sci_sm,1000
23208609,2 isopropylthioxanthone,52,75,100,23208609,2 isopropylthioxanthone,100,52,75,en_core_sci_sm,1000
23238233,chikusetsusaponin,596,613,89,23238233,chikusetsusaponin fk7,89,596,617,en_core_sci_sm,1000
23208609,17ß estradiol,1025,1038,100,23208609,17ß estradiol,100,1025,1038,en_core_sci_sm,1000
23178178,plasma lactate,1229,1243,67,23178178,lactate,67,1236,1243,en_core_sci_sm,1000
22658648,myo inositol,1111,1123,100,22658648,myo inositol,100,1111,1123,en_core_sci_sm,1000
23220003,dicarbonyls,653,664,100,23220003,dicarbonyls,100,653,664,en_core_sci_sm,1000
23201370,total cholesterol,770,787,79,23201370,cholesterol,79,776,787,en_core_sci_sm,1000
22404642,triterpenoids,148,161,100,22404642,triterpenoids,100,148,161,en_core_sci_sm,1000
22349814,human monoglyceride lipase,0,26,67,22349814,monoglyceride,67,6,19,en_core_sci_sm,1000
23019217,mith,863,867,100,23019217,mith,100,863,867,en_core_sci_sm,1000
22975146,α asarone,1448,1457,100,22975146,α asarone,100,1448,1457,en_core_sci_sm,1000
22975155,rs194b,1316,1322,100,22975155,rs194b,100,1316,1322,en_core_sci_sm,1000
23146871,mn 3 ,427,433,100,23146871,mn 3 ,100,427,433,en_core_sci_sm,1000
23122160,dinotefuran,42,53,100,23122160,dinotefuran,100,42,53,en_core_sci_sm,1000
23164615,glutamate,749,758,100,23164615,glutamate,100,749,758,en_core_sci_sm,1000
22830982,1 oh midazolam,901,915,100,22830982,1 oh midazolam,100,901,915,en_core_sci_sm,1000
23131177,melatonin receptor,1681,1699,67,23131177,melatonin,67,1681,1690,en_core_sci_sm,1000
22678994,tangeretin,782,792,100,22678994,tangeretin,100,782,792,en_core_sci_sm,1000
22563917,glycerol,745,753,100,22563917,glycerol,100,745,753,en_core_sci_sm,1000
23085330,curcumin,1701,1709,100,23085330,curcumin,100,1701,1709,en_core_sci_sm,1000
23092723,methanol,1217,1225,100,23092723,methanol,100,1217,1225,en_core_sci_sm,1000
22644836,triglycerides,928,941,100,22644836,triglycerides,100,928,941,en_core_sci_sm,1000
23203454,monoester,1236,1245,100,23203454,monoester,100,1236,1245,en_core_sci_sm,1000
23074021,methyleugenol,0,13,100,23074021,methyleugenol,100,0,13,en_core_sci_sm,1000
22771462,released,1189,1197,12,22771462,glutamate,12,1198,1207,en_core_sci_sm,1000
22766173,dosimetry,1694,1703,40,22766173,iodide,40,1687,1693,en_core_sci_sm,1000
23159479,oxytocin,640,648,100,23159479,oxytocin,100,640,648,en_core_sci_sm,1000
23220293,serotonin,1032,1041,100,23220293,serotonin,100,1032,1041,en_core_sci_sm,1000
23153322,iodine,101,107,22,23153322,rai,22,109,112,en_core_sci_sm,1000
23200004,nitrous acid,1012,1024,100,23200004,nitrous acid,100,1012,1024,en_core_sci_sm,1000
23228697,doxazolidine,725,737,100,23228697,doxazolidine,100,725,737,en_core_sci_sm,1000
23245697,budding,8,15,29,23245697,ribonucleotide,29,0,14,en_core_sci_sm,1000
23214415,paa,243,246,100,23214415,paa,100,243,246,en_core_sci_sm,1000
22867274,gsh,721,724,100,22867274,gsh,100,721,724,en_core_sci_sm,1000
22658648,myo inositol,454,466,100,22658648,myo inositol,100,454,466,en_core_sci_sm,1000
23220513,meg,560,563,100,23220513,meg,100,560,563,en_core_sci_sm,1000
23153512,fen,682,685,100,23153512,fen,100,682,685,en_core_sci_sm,1000
22780426,dindygulerione c,329,345,100,22780426,dindygulerione c,100,329,345,en_core_sci_sm,1000
23199028,amino acid residues,98,117,69,23199028,amino acid,69,98,108,en_core_sci_sm,1000
23160961,acyl,1319,1323,100,23160961,acyl,100,1319,1323,en_core_sci_sm,1000
23170796,minocycline,1187,1198,100,23170796,minocycline,100,1187,1198,en_core_sci_sm,1000
23160419,no 2,1364,1368,89,23160419,no 2 ,89,1364,1369,en_core_sci_sm,1000
22824787,fluoxetine,244,254,100,22824787,fluoxetine,100,244,254,en_core_sci_sm,1000
23041510,alf,1890,1893,100,23041510,alf,100,1890,1893,en_core_sci_sm,1000
23186624,clonidine,1544,1553,100,23186624,clonidine,100,1544,1553,en_core_sci_sm,1000
23079231,curcumin,956,964,100,23079231,curcumin,100,956,964,en_core_sci_sm,1000
23047287,gns β cd,820,828,67,23047287,β cd,67,824,828,en_core_sci_sm,1000
23151610,helicene racemates,708,726,62,23151610,helicene,62,708,716,en_core_sci_sm,1000
23239015,pc 8 ,82,88,100,23239015,pc 8 ,100,82,88,en_core_sci_sm,1000
23007559,etoh,1469,1473,100,23007559,etoh,100,1469,1473,en_core_sci_sm,1000
23055539,angiotensin iv,0,14,100,23055539,angiotensin iv,100,0,14,en_core_sci_sm,1000
22623520,vitamin e,473,482,100,22623520,vitamin e,100,473,482,en_core_sci_sm,1000
22989704,nickel chloride nicl 2 ,417,441,79,22989704,nickel chloride,79,417,432,en_core_sci_sm,1000
