Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_bc5cdr_md,training.abstracts,1000,23194517,astaxanthin,700,711
en_ner_bc5cdr_md,training.abstracts,1000,23161217,hyperbilirubinemia,652,670
en_ner_bc5cdr_md,training.abstracts,1000,23118019,5 mabn,747,754
en_ner_bc5cdr_md,training.abstracts,1000,23131177,sleep disorders,410,425
en_ner_bc5cdr_md,training.abstracts,1000,23074021,glutathione,877,888
en_ner_bc5cdr_md,training.abstracts,1000,22980124,psychiatric,152,163
en_ner_bc5cdr_md,training.abstracts,1000,23007555,ischemia,1634,1642
en_ner_bc5cdr_md,training.abstracts,1000,23220003,dihydroxyacetone,559,575
en_ner_bc5cdr_md,training.abstracts,1000,22614018,ataxia telangiectasia,0,21
en_ner_bc5cdr_md,training.abstracts,1000,23050902,impdh,518,523
en_ner_bc5cdr_md,training.abstracts,1000,23026700,csee,1027,1031
en_ner_bc5cdr_md,training.abstracts,1000,23135547,dronedarone,304,315
en_ner_bc5cdr_md,training.abstracts,1000,23219696,estradiol,1660,1669
en_ner_bc5cdr_md,training.abstracts,1000,22370634,tumor,109,114
en_ner_bc5cdr_md,training.abstracts,1000,22678994,calcium,87,94
en_ner_bc5cdr_md,training.abstracts,1000,22760156,anion adducts,211,224
en_ner_bc5cdr_md,training.abstracts,1000,23092395,steroids,660,668
en_ner_bc5cdr_md,training.abstracts,1000,23206503,n palmitoylethanolamine,0,23
en_ner_bc5cdr_md,training.abstracts,1000,23245514,perylene bisimide,74,91
en_ner_bc5cdr_md,training.abstracts,1000,23219696,steroids,1017,1025
en_ner_bc5cdr_md,training.abstracts,1000,23197649,dreadd,988,994
en_ner_bc5cdr_md,training.abstracts,1000,22766394,fatigue,823,830
en_ner_bc5cdr_md,training.abstracts,1000,22258629,chromium,0,8
en_ner_bc5cdr_md,training.abstracts,1000,23044489,brain damage,154,166
en_ner_bc5cdr_md,training.abstracts,1000,23063002,lms,210,213
en_ner_bc5cdr_md,training.abstracts,1000,23041538,sch 58261,1147,1156
en_ner_bc5cdr_md,training.abstracts,1000,23177255,scutellarin,57,68
en_ner_bc5cdr_md,training.abstracts,1000,23174539,hypometabolic,1332,1345
en_ner_bc5cdr_md,training.abstracts,1000,23238233,ginsenoside re,270,284
en_ner_bc5cdr_md,training.abstracts,1000,23181488,methyl,1303,1309
en_ner_bc5cdr_md,training.abstracts,1000,22678994,o2 stimulated ht 22,1281,1301
en_ner_bc5cdr_md,training.abstracts,1000,23206503,epileptic,1455,1464
en_ner_bc5cdr_md,training.abstracts,1000,23153029,estrogens,1134,1143
en_ner_bc5cdr_md,training.abstracts,1000,23203454,di iso nonylphthalate,429,450
en_ner_bc5cdr_md,training.abstracts,1000,23200901,mesaconitine,45,57
en_ner_bc5cdr_md,training.abstracts,1000,23228043,df,459,461
en_ner_bc5cdr_md,training.abstracts,1000,23047001,btz,434,437
en_ner_bc5cdr_md,training.abstracts,1000,22991192,apoe2 ,578,584
en_ner_bc5cdr_md,training.abstracts,1000,23223857,cnts,699,703
en_ner_bc5cdr_md,training.abstracts,1000,23007555,stroke,1647,1653
en_ner_bc5cdr_md,training.abstracts,1000,23042954,ly293558,1301,1309
en_ner_bc5cdr_md,training.abstracts,1000,23123743,tyrosine,822,830
en_ner_bc5cdr_md,training.abstracts,1000,23011663,cape,408,412
en_ner_bc5cdr_md,training.abstracts,1000,23086035,sphingosine,737,748
en_ner_bc5cdr_md,training.abstracts,1000,23124905,phospholipids,947,960
en_ner_bc5cdr_md,training.abstracts,1000,23139378,gemfibrozil glucuronide,464,487
en_ner_bc5cdr_md,training.abstracts,1000,23118018,alcohol,545,552
en_ner_bc5cdr_md,training.abstracts,1000,22989705,cisplatin,357,366
en_ner_bc5cdr_md,training.abstracts,1000,23061635,cold inducing sensation,990,1013
en_ner_bc5cdr_md,training.abstracts,1000,23212975,toxicity,122,130
en_ner_bc5cdr_md,training.abstracts,1000,23174539,pesticide,0,9
en_ner_bc5cdr_md,training.abstracts,1000,23233454,qnmr,472,476
en_ner_bc5cdr_md,training.abstracts,1000,22993196,glucose,921,928
en_ner_bc5cdr_md,training.abstracts,1000,23159729,naphthenic acid,1250,1265
en_ner_bc5cdr_md,training.abstracts,1000,23174539,dopamine,479,487
en_ner_bc5cdr_md,training.abstracts,1000,23228696,metformin,1118,1127
en_ner_bc5cdr_md,training.abstracts,1000,23215007,5 6 dimethyluracil,770,788
en_ner_bc5cdr_md,training.abstracts,1000,22766394,fatigue,1291,1298
en_ner_bc5cdr_md,training.abstracts,1000,23111374,pyridinium,324,334
en_ner_bc5cdr_md,training.abstracts,1000,23229511,17 aag,676,682
en_ner_bc5cdr_md,training.abstracts,1000,23220617,breast cancer,2487,2500
en_ner_bc5cdr_md,training.abstracts,1000,23220412,chloroacetanilide herbicide,15,42
en_ner_bc5cdr_md,training.abstracts,1000,23201309,tenofovir mono ,1170,1185
en_ner_bc5cdr_md,training.abstracts,1000,23228475,cyprodinil,427,437
en_ner_bc5cdr_md,training.abstracts,1000,23221633,atm,411,414
en_ner_bc5cdr_md,training.abstracts,1000,23140132,overweight or obese,339,358
en_ner_bc5cdr_md,training.abstracts,1000,23220004,ra,277,279
en_ner_bc5cdr_md,training.abstracts,1000,23019137,neurotensin,504,515
en_ner_bc5cdr_md,training.abstracts,1000,23161673,cancer,204,210
en_ner_bc5cdr_md,training.abstracts,1000,22859660,pe,317,319
en_ner_bc5cdr_md,training.abstracts,1000,23170794,neuronal damage,176,191
en_ner_bc5cdr_md,training.abstracts,1000,23081947,chlorine,342,350
en_ner_bc5cdr_md,training.abstracts,1000,23238611,depressive,572,582
en_ner_bc5cdr_md,training.abstracts,1000,23042808,thc,97,100
en_ner_bc5cdr_md,training.abstracts,1000,23147032,obesity,551,558
en_ner_bc5cdr_md,training.abstracts,1000,23030766,trastuzumab,854,865
en_ner_bc5cdr_md,training.abstracts,1000,23147567,silicone,157,165
en_ner_bc5cdr_md,training.abstracts,1000,23104982,tumor,1464,1469
en_ner_bc5cdr_md,training.abstracts,1000,23246865,bicuculline,1337,1348
en_ner_bc5cdr_md,training.abstracts,1000,23230274,atm,1309,1312
en_ner_bc5cdr_md,training.abstracts,1000,23189968,euthyroid syndrome,1251,1269
en_ner_bc5cdr_md,training.abstracts,1000,23122089,gaba,660,664
en_ner_bc5cdr_md,training.abstracts,1000,22968089,glutamate,1275,1284
en_ner_bc5cdr_md,training.abstracts,1000,23219696,steroids,485,493
en_ner_bc5cdr_md,training.abstracts,1000,23159662,venlafaxine,586,597
en_ner_bc5cdr_md,training.abstracts,1000,23022069,mel,365,368
en_ner_bc5cdr_md,training.abstracts,1000,23027804,graves disease,418,433
en_ner_bc5cdr_md,training.abstracts,1000,22751286,gastrointestinal symptoms,185,210
en_ner_bc5cdr_md,training.abstracts,1000,23143039,cadmium toxicity,606,622
en_ner_bc5cdr_md,training.abstracts,1000,23042730,amd,761,764
en_ner_bc5cdr_md,training.abstracts,1000,23198810,quinone,1062,1069
en_ner_bc5cdr_md,training.abstracts,1000,23001428,toxicity,1274,1282
en_ner_bc5cdr_md,training.abstracts,1000,22918066,nausea,301,307
en_ner_bc5cdr_md,training.abstracts,1000,22872100,cdkl5,570,575
en_ner_bc5cdr_md,training.abstracts,1000,23228697,orlistat,426,434
en_ner_bc5cdr_md,training.abstracts,1000,23027804,stress reduction,438,454
en_ner_bc5cdr_md,training.abstracts,1000,23143674,ddi,420,423
en_ner_bc5cdr_md,training.abstracts,1000,23091169,liver tumor,1208,1219
en_ner_bc5cdr_md,training.abstracts,1000,23153054,nifedipine,821,831
en_ner_bc5cdr_md,training.abstracts,1000,23111885,phosphate,533,542
en_ner_bc5cdr_md,training.abstracts,1000,22981737,mg,1161,1163
en_ner_bc5cdr_md,training.abstracts,1000,23041510,alf,2031,2034
en_ner_bc5cdr_md,training.abstracts,1000,22623520,vitamin e,473,482
en_ner_bc5cdr_md,training.abstracts,1000,23036350,visual loss,1084,1095
en_ner_bc5cdr_md,training.abstracts,1000,23212787,ginsenoside,661,672
en_ner_bc5cdr_md,training.abstracts,1000,23225241,cholesterol,138,149
en_ner_bc5cdr_md,training.abstracts,1000,23230281,peroxynitrite,868,881
en_ner_bc5cdr_md,training.abstracts,1000,23228193,phenanthrenes,77,90
en_ner_bc5cdr_md,training.abstracts,1000,23232461,organotin,692,701
en_ner_bc5cdr_md,training.abstracts,1000,23151611,serotonin,1238,1247
