article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23194517,astaxanthin,700,711,100,23194517,astaxanthin,100,700,711,en_ner_bc5cdr_md,1000
23118019,5 mabn,747,754,100,23118019,5 mabn,100,747,754,en_ner_bc5cdr_md,1000
23074021,glutathione,877,888,100,23074021,glutathione,100,877,888,en_ner_bc5cdr_md,1000
23220003,dihydroxyacetone,559,575,100,23220003,dihydroxyacetone,100,559,575,en_ner_bc5cdr_md,1000
23135547,dronedarone,304,315,100,23135547,dronedarone,100,304,315,en_ner_bc5cdr_md,1000
23219696,estradiol,1660,1669,100,23219696,estradiol,100,1660,1669,en_ner_bc5cdr_md,1000
22678994,calcium,87,94,100,22678994,calcium,100,87,94,en_ner_bc5cdr_md,1000
23092395,steroids,660,668,100,23092395,steroids,100,660,668,en_ner_bc5cdr_md,1000
23206503,n palmitoylethanolamine,0,23,100,23206503,n palmitoylethanolamine,100,0,23,en_ner_bc5cdr_md,1000
23245514,perylene bisimide,74,91,64,23245514,perylene,64,74,82,en_ner_bc5cdr_md,1000
23219696,steroids,1017,1025,100,23219696,steroids,100,1017,1025,en_ner_bc5cdr_md,1000
22258629,chromium,0,8,100,22258629,chromium,100,0,8,en_ner_bc5cdr_md,1000
23041538,sch 58261,1147,1156,100,23041538,sch 58261,100,1147,1156,en_ner_bc5cdr_md,1000
23177255,scutellarin,57,68,100,23177255,scutellarin,100,57,68,en_ner_bc5cdr_md,1000
23238233,ginsenoside re,270,284,100,23238233,ginsenoside re,100,270,284,en_ner_bc5cdr_md,1000
23181488,methyl,1303,1309,100,23181488,methyl,100,1303,1309,en_ner_bc5cdr_md,1000
23153029,estrogens,1134,1143,100,23153029,estrogens,100,1134,1143,en_ner_bc5cdr_md,1000
23203454,di iso nonylphthalate,429,450,100,23203454,di iso nonylphthalate,100,429,450,en_ner_bc5cdr_md,1000
23200901,mesaconitine,45,57,100,23200901,mesaconitine,100,45,57,en_ner_bc5cdr_md,1000
23047001,btz,434,437,100,23047001,btz,100,434,437,en_ner_bc5cdr_md,1000
23042954,ly293558,1301,1309,100,23042954,ly293558,100,1301,1309,en_ner_bc5cdr_md,1000
23123743,tyrosine,822,830,100,23123743,tyrosine,100,822,830,en_ner_bc5cdr_md,1000
23011663,cape,408,412,100,23011663,cape,100,408,412,en_ner_bc5cdr_md,1000
23086035,sphingosine,737,748,100,23086035,sphingosine,100,737,748,en_ner_bc5cdr_md,1000
23139378,gemfibrozil glucuronide,464,487,100,23139378,gemfibrozil glucuronide,100,464,487,en_ner_bc5cdr_md,1000
23118018,alcohol,545,552,100,23118018,alcohol,100,545,552,en_ner_bc5cdr_md,1000
22989705,cisplatin,357,366,100,22989705,cisplatin,100,357,366,en_ner_bc5cdr_md,1000
22993196,glucose,921,928,100,22993196,glucose,100,921,928,en_ner_bc5cdr_md,1000
23159729,naphthenic acid,1250,1265,100,23159729,naphthenic acid,100,1250,1265,en_ner_bc5cdr_md,1000
23174539,dopamine,479,487,100,23174539,dopamine,100,479,487,en_ner_bc5cdr_md,1000
23228696,metformin,1118,1127,100,23228696,metformin,100,1118,1127,en_ner_bc5cdr_md,1000
23215007,5 6 dimethyluracil,770,788,100,23215007,5 6 dimethyluracil,100,770,788,en_ner_bc5cdr_md,1000
23229511,17 aag,676,682,100,23229511,17 aag,100,676,682,en_ner_bc5cdr_md,1000
23220412,chloroacetanilide herbicide,15,42,77,23220412,chloroacetanilide,77,15,32,en_ner_bc5cdr_md,1000
23228475,cyprodinil,427,437,100,23228475,cyprodinil,100,427,437,en_ner_bc5cdr_md,1000
23019137,neurotensin,504,515,100,23019137,neurotensin,100,504,515,en_ner_bc5cdr_md,1000
23081947,chlorine,342,350,100,23081947,chlorine,100,342,350,en_ner_bc5cdr_md,1000
23042808,thc,97,100,100,23042808,thc,100,97,100,en_ner_bc5cdr_md,1000
23246865,bicuculline,1337,1348,100,23246865,bicuculline,100,1337,1348,en_ner_bc5cdr_md,1000
23122089,gaba,660,664,100,23122089,gaba,100,660,664,en_ner_bc5cdr_md,1000
23219696,steroids,485,493,100,23219696,steroids,100,485,493,en_ner_bc5cdr_md,1000
23159662,venlafaxine,586,597,100,23159662,venlafaxine,100,586,597,en_ner_bc5cdr_md,1000
23022069,mel,365,368,100,23022069,mel,100,365,368,en_ner_bc5cdr_md,1000
23143039,cadmium toxicity,606,622,61,23143039,cadmium,61,606,613,en_ner_bc5cdr_md,1000
23042730,amd,761,764,100,23042730,amd,100,761,764,en_ner_bc5cdr_md,1000
23198810,quinone,1062,1069,100,23198810,quinone,100,1062,1069,en_ner_bc5cdr_md,1000
23228697,orlistat,426,434,100,23228697,orlistat,100,426,434,en_ner_bc5cdr_md,1000
23153054,nifedipine,821,831,100,23153054,nifedipine,100,821,831,en_ner_bc5cdr_md,1000
23111885,phosphate,533,542,100,23111885,phosphate,100,533,542,en_ner_bc5cdr_md,1000
23041510,alf,2031,2034,100,23041510,alf,100,2031,2034,en_ner_bc5cdr_md,1000
22623520,vitamin e,473,482,100,22623520,vitamin e,100,473,482,en_ner_bc5cdr_md,1000
23212787,ginsenoside,661,672,100,23212787,ginsenoside,100,661,672,en_ner_bc5cdr_md,1000
23225241,cholesterol,138,149,100,23225241,cholesterol,100,138,149,en_ner_bc5cdr_md,1000
23230281,peroxynitrite,868,881,100,23230281,peroxynitrite,100,868,881,en_ner_bc5cdr_md,1000
23228193,phenanthrenes,77,90,100,23228193,phenanthrenes,100,77,90,en_ner_bc5cdr_md,1000
23232461,organotin,692,701,100,23232461,organotin,100,692,701,en_ner_bc5cdr_md,1000
23151611,serotonin,1238,1247,100,23151611,serotonin,100,1238,1247,en_ner_bc5cdr_md,1000
23138972,olefins,445,452,100,23138972,olefins,100,445,452,en_ner_bc5cdr_md,1000
23036893,bisphenol a ,1092,1104,96,23036893,bisphenol a,96,1092,1103,en_ner_bc5cdr_md,1000
23188714,nucleoside,791,801,100,23188714,nucleoside,100,791,801,en_ner_bc5cdr_md,1000
23123331,silybin,715,722,100,23123331,silybin,100,715,722,en_ner_bc5cdr_md,1000
23079231,sirolimus,1676,1685,100,23079231,sirolimus,100,1676,1685,en_ner_bc5cdr_md,1000
23153054,alprazolam,394,404,100,23153054,alprazolam,100,394,404,en_ner_bc5cdr_md,1000
23194825,bso,1590,1593,100,23194825,bso,100,1592,1595,en_ner_bc5cdr_md,1000
23160940, 3 h cp55940,225,238,100,23160940, 3 h cp55940,100,225,238,en_ner_bc5cdr_md,1000
22610853,curcumin,286,294,100,22610853,curcumin,100,286,294,en_ner_bc5cdr_md,1000
22616577,thf,246,249,100,22616577,thf,100,246,249,en_ner_bc5cdr_md,1000
23118019,5 amn,936,942,100,23118019,5 amn,100,936,942,en_ner_bc5cdr_md,1000
23234246,cancer,48,54,17,23234246,benzenesulfonamide,17,44,62,en_ner_bc5cdr_md,1000
23081912,tcdd,106,110,100,23081912,tcdd,100,106,110,en_ner_bc5cdr_md,1000
23159790,nucleotide,1082,1092,100,23159790,nucleotide,100,1082,1092,en_ner_bc5cdr_md,1000
23230131,dfdc,647,651,100,23230131,dfdc,100,647,651,en_ner_bc5cdr_md,1000
23161217,suramin,169,176,100,23161217,suramin,100,169,176,en_ner_bc5cdr_md,1000
22820275,atomoxetine,0,11,100,22820275,atomoxetine,100,0,11,en_ner_bc5cdr_md,1000
23220003,fructose,43,51,100,23220003,fructose,100,43,51,en_ner_bc5cdr_md,1000
23221006,phenformin,237,247,100,23221006,phenformin,100,237,247,en_ner_bc5cdr_md,1000
23164615,dcpg,394,398,100,23164615,dcpg,100,394,398,en_ner_bc5cdr_md,1000
23092894,glutamate,644,653,100,23092894,glutamate,100,644,653,en_ner_bc5cdr_md,1000
23085266,sb203580,1133,1141,100,23085266,sb203580,100,1133,1141,en_ner_bc5cdr_md,1000
22788542,quercetin,634,643,100,22788542,quercetin,100,634,643,en_ner_bc5cdr_md,1000
23194528,2 methyl 1 butanol,138,156,100,23194528,2 methyl 1 butanol,100,138,156,en_ner_bc5cdr_md,1000
23122155,carnosol,737,745,100,23122155,carnosol,100,737,745,en_ner_bc5cdr_md,1000
23000251,quercetin,902,911,100,23000251,quercetin,100,902,911,en_ner_bc5cdr_md,1000
23085266,tyrosine,981,989,100,23085266,tyrosine,100,981,989,en_ner_bc5cdr_md,1000
23146692,aaph,1160,1164,100,23146692,aaph,100,1160,1164,en_ner_bc5cdr_md,1000
23220588,sodium,1878,1884,55,23220588,sodium bisulfite,55,1878,1894,en_ner_bc5cdr_md,1000
23222689,valproic acid,192,205,100,23222689,valproic acid,100,192,205,en_ner_bc5cdr_md,1000
23239639,pentafluorophenyl methacrylate,363,393,100,23239639,pentafluorophenyl methacrylate,100,363,393,en_ner_bc5cdr_md,1000
23104244,chlorzoxazone,1253,1266,100,23104244,chlorzoxazone,100,1253,1266,en_ner_bc5cdr_md,1000
22788700,rutin,537,542,100,22788700,rutin,100,537,542,en_ner_bc5cdr_md,1000
23127826,flavone,923,930,100,23127826,flavone,100,923,930,en_ner_bc5cdr_md,1000
22080034,aflatoxin,718,727,100,22080034,aflatoxin,100,718,727,en_ner_bc5cdr_md,1000
23147750,hco,683,686,67,23147750,hco 3 ,67,683,691,en_ner_bc5cdr_md,1000
22997060,trichothecene toxicity,1251,1273,74,22997060,trichothecene,74,1251,1264,en_ner_bc5cdr_md,1000
23194528,1 propanol,67,77,100,23194528,1 propanol,100,67,77,en_ner_bc5cdr_md,1000
23206503,pea,892,895,100,23206503,pea,100,892,895,en_ner_bc5cdr_md,1000
23000251,mtt tetrazolium,620,635,85,23000251,tetrazolium,85,624,635,en_ner_bc5cdr_md,1000
23055539,amino acids,535,546,100,23055539,amino acids,100,535,546,en_ner_bc5cdr_md,1000
23153029,estradiol,613,622,100,23153029,estradiol,100,613,622,en_ner_bc5cdr_md,1000
23115086,propofol,456,464,100,23115086,propofol,100,456,464,en_ner_bc5cdr_md,1000
23225638,diethylester,215,227,100,23225638,diethylester,100,215,227,en_ner_bc5cdr_md,1000
22694738,peonidin,695,703,100,22694738,peonidin,100,695,703,en_ner_bc5cdr_md,1000
23122108,ginnalins b,635,646,79,23122108,ginnalins b and c,79,635,652,en_ner_bc5cdr_md,1000
22906572,amine heptylamine,805,822,79,22906572,heptylamine,79,811,822,en_ner_bc5cdr_md,1000
