article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23079231,sirolimus,205,214,100,23079231,sirolimus,100,205,214,en_ner_bionlp13cg_md,1000
23200253,tbpb,89,93,100,23200253,tbpb,100,89,93,en_ner_bionlp13cg_md,1000
23104245,ghb,313,316,100,23104245,ghb,100,313,316,en_ner_bionlp13cg_md,1000
23123254,ga,447,449,29,23123254,sarin,29,452,457,en_ner_bionlp13cg_md,1000
23122135,apigenin 7 o glucoside,714,736,100,23122135,apigenin 7 o glucoside,100,714,736,en_ner_bionlp13cg_md,1000
23041725,dieldrin,650,658,100,23041725,dieldrin,100,650,658,en_ner_bionlp13cg_md,1000
23220588,acrolein,936,944,100,23220588,acrolein,100,936,944,en_ner_bionlp13cg_md,1000
23095244,ecstasy,468,475,100,23095244,ecstasy,100,468,475,en_ner_bionlp13cg_md,1000
23146765,formate,1297,1304,100,23146765,formate,100,1297,1304,en_ner_bionlp13cg_md,1000
23183186,insulin,144,151,14,23183186,glucose,14,148,155,en_ner_bionlp13cg_md,1000
23221006,phenformin,0,10,100,23221006,phenformin,100,0,10,en_ner_bionlp13cg_md,1000
22917637, cocaine,1802,1813,100,22917637, cocaine,100,1802,1813,en_ner_bionlp13cg_md,1000
23019137,serotonin,958,967,100,23019137,serotonin,100,958,967,en_ner_bionlp13cg_md,1000
23228475,bap,171,174,100,23228475,bap,100,171,174,en_ner_bionlp13cg_md,1000
22728761,cocaine,1481,1488,100,22728761,cocaine,100,1481,1488,en_ner_bionlp13cg_md,1000
22694738,cyanidin,661,669,100,22694738,cyanidin,100,661,669,en_ner_bionlp13cg_md,1000
23143036,dna,189,192,20,23143036,cadmium,20,194,201,en_ner_bionlp13cg_md,1000
23159662,venlafaxine,898,909,100,23159662,venlafaxine,100,898,909,en_ner_bionlp13cg_md,1000
23122137,vescalagin,427,437,100,23122137,vescalagin,100,427,437,en_ner_bionlp13cg_md,1000
22995755,pei,180,183,100,22995755,pei,100,180,183,en_ner_bionlp13cg_md,1000
23186624,clonidine,915,924,100,23186624,clonidine,100,915,924,en_ner_bionlp13cg_md,1000
22975155,rs194b,965,971,100,22975155,rs194b,100,965,971,en_ner_bionlp13cg_md,1000
23092395,tannins,689,696,100,23092395,tannins,100,689,696,en_ner_bionlp13cg_md,1000
23194825,nac,1618,1621,100,23194825,nac,100,1620,1623,en_ner_bionlp13cg_md,1000
23225365,no,795,797,100,23225365,no,100,795,797,en_ner_bionlp13cg_md,1000
23042953,cholesterol,1648,1659,100,23042953,cholesterol,100,1648,1659,en_ner_bionlp13cg_md,1000
22961087,hepatic triglycerides,1037,1058,76,22961087,triglycerides,76,1045,1058,en_ner_bionlp13cg_md,1000
23151611,oleanolic acid,882,896,100,23151611,oleanolic acid,100,882,896,en_ner_bionlp13cg_md,1000
23007559,etoh,503,507,100,23007559,etoh,100,503,507,en_ner_bionlp13cg_md,1000
22258629,urinary chromium,1128,1144,67,22258629,chromium,67,1136,1144,en_ner_bionlp13cg_md,1000
23178182,mk 801,1464,1470,100,23178182,mk 801,100,1464,1470,en_ner_bionlp13cg_md,1000
23184251,ap 4 a,1042,1048,100,23184251,ap 4 a,100,1042,1048,en_ner_bionlp13cg_md,1000
22898132,methoxyacetic acid,553,571,100,22898132,methoxyacetic acid,100,553,571,en_ner_bionlp13cg_md,1000
23000449,carbamate,117,126,100,23000449,carbamate,100,117,126,en_ner_bionlp13cg_md,1000
22989705,cisplatin,357,366,100,22989705,cisplatin,100,357,366,en_ner_bionlp13cg_md,1000
23071106,gliclazide,863,873,100,23071106,gliclazide,100,863,873,en_ner_bionlp13cg_md,1000
22661401,mn 2,223,227,89,22661401,mn 2 ,89,223,229,en_ner_bionlp13cg_md,1000
23017388,sb365,848,853,100,23017388,sb365,100,848,853,en_ner_bionlp13cg_md,1000
22972222,vildagliptin,284,296,100,22972222,vildagliptin,100,284,296,en_ner_bionlp13cg_md,1000
23143036,paraquat,1535,1543,100,23143036,paraquat,100,1535,1543,en_ner_bionlp13cg_md,1000
23194504,naringin,809,817,100,23194504,naringin,100,809,817,en_ner_bionlp13cg_md,1000
23194502,adriamycin,1018,1028,100,23194502,adriamycin,100,1018,1028,en_ner_bionlp13cg_md,1000
23142020,bay,1249,1252,43,23142020,bay 41 8543,43,1249,1260,en_ner_bionlp13cg_md,1000
23012257,dcpib,72,77,100,23012257,dcpib,100,72,77,en_ner_bionlp13cg_md,1000
22546615,6 hydroxydopamine,1419,1436,100,22546615,6 hydroxydopamine,100,1419,1436,en_ner_bionlp13cg_md,1000
23146871,mn 3 tf,1372,1380,83,23146871,mn 3 ,83,1372,1378,en_ner_bionlp13cg_md,1000
23159529,peg,438,441,100,23159529,peg,100,438,441,en_ner_bionlp13cg_md,1000
23012257,vrac,862,866,22,23012257,dcpib,22,868,873,en_ner_bionlp13cg_md,1000
23170796,tetracycline,332,344,100,23170796,tetracycline,100,332,344,en_ner_bionlp13cg_md,1000
23225075,uranium,657,664,100,23225075,uranium,100,657,664,en_ner_bionlp13cg_md,1000
23220612,7 ketocholesterol,1295,1312,100,23220612,7 ketocholesterol,100,1295,1312,en_ner_bionlp13cg_md,1000
23057615,moxifloxacin,785,797,100,23057615,moxifloxacin,100,785,797,en_ner_bionlp13cg_md,1000
