Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_craft_md,training.abstracts,1000,23036350,autophagic,171,181
en_ner_craft_md,training.abstracts,1000,23225241,rats,484,488
en_ner_craft_md,training.abstracts,1000,23179966,intracellular,383,396
en_ner_craft_md,training.abstracts,1000,22956630,glucocorticoid receptor,1452,1475
en_ner_craft_md,training.abstracts,1000,22614019,grhl3,1523,1528
en_ner_craft_md,training.abstracts,1000,23030680,cyp3a4,914,920
en_ner_craft_md,training.abstracts,1000,23222849,frameshift mutation,1035,1054
en_ner_craft_md,training.abstracts,1000,23131797,drug,297,301
en_ner_craft_md,training.abstracts,1000,23177256,myc max heterodimer,587,606
en_ner_craft_md,training.abstracts,1000,23225241,lipid,692,697
en_ner_craft_md,training.abstracts,1000,22982773,ache,1110,1114
en_ner_craft_md,training.abstracts,1000,23092395,d ,1031,1033
en_ner_craft_md,training.abstracts,1000,23124677,fraction proteins,1009,1026
en_ner_craft_md,training.abstracts,1000,23154127,compounds,1330,1339
en_ner_craft_md,training.abstracts,1000,23246428,metabolites,1095,1106
en_ner_craft_md,training.abstracts,1000,22931186,bsa,1466,1469
en_ner_craft_md,training.abstracts,1000,22683935,rhcxcl12,1234,1242
en_ner_craft_md,training.abstracts,1000,23047024,oxime k048,369,379
en_ner_craft_md,training.abstracts,1000,23064749,lrrc37,485,491
en_ner_craft_md,training.abstracts,1000,22420410,amino acid,479,489
en_ner_craft_md,training.abstracts,1000,23047912, ,809,810
en_ner_craft_md,training.abstracts,1000,23078542,cells,1257,1262
en_ner_craft_md,training.abstracts,1000,23141425,ctgf,33,37
en_ner_craft_md,training.abstracts,1000,23220560,mehg,48,52
en_ner_craft_md,training.abstracts,1000,23139020,cyp2b1 2,604,612
en_ner_craft_md,training.abstracts,1000,23163508,known sequences,806,821
en_ner_craft_md,training.abstracts,1000,22469988,cell,948,952
en_ner_craft_md,training.abstracts,1000,23122169,graciliflorin f,309,324
en_ner_craft_md,training.abstracts,1000,23138333,chroococcus,1349,1360
en_ner_craft_md,training.abstracts,1000,23228696,ercc1,1004,1009
en_ner_craft_md,training.abstracts,1000,22982773,phosphate,1661,1670
en_ner_craft_md,training.abstracts,1000,23030766,cell,775,779
en_ner_craft_md,training.abstracts,1000,23201331,human,1242,1247
en_ner_craft_md,training.abstracts,1000,23194522,pepsin,628,634
en_ner_craft_md,training.abstracts,1000,22469988,atp,198,201
en_ner_craft_md,training.abstracts,1000,23099645,cells,1291,1296
en_ner_craft_md,training.abstracts,1000,23197649,wt,922,924
en_ner_craft_md,training.abstracts,1000,22080037,cox 2,728,733
en_ner_craft_md,training.abstracts,1000,23159529,epidermal growth factor receptor,519,551
en_ner_craft_md,training.abstracts,1000,22583008,fatty acids,464,475
en_ner_craft_md,training.abstracts,1000,23224291,mitochondrial connexin,1394,1416
en_ner_craft_md,training.abstracts,1000,23122089,sugars,379,385
en_ner_craft_md,training.abstracts,1000,23122068,sulforaphene,851,863
en_ner_craft_md,training.abstracts,1000,23193260,sequences,563,572
en_ner_craft_md,training.abstracts,1000,23232461,membrane components,1141,1160
en_ner_craft_md,training.abstracts,1000,23225366,cell,340,344
en_ner_craft_md,training.abstracts,1000,23109233,metal ions,1444,1454
en_ner_craft_md,training.abstracts,1000,23146871,mn,371,373
en_ner_craft_md,training.abstracts,1000,23199028,hmgb1,437,442
en_ner_craft_md,training.abstracts,1000,23220612,lipid products,269,283
en_ner_craft_md,training.abstracts,1000,23211525,androstane receptor response element,739,775
en_ner_craft_md,training.abstracts,1000,22397675,polymers,59,67
en_ner_craft_md,training.abstracts,1000,22585450,microphylla,174,185
en_ner_craft_md,training.abstracts,1000,22954532,tungsten carbide,141,157
en_ner_craft_md,training.abstracts,1000,23044047,osteocyte,1753,1762
en_ner_craft_md,training.abstracts,1000,23017389,fractions,105,114
en_ner_craft_md,training.abstracts,1000,23178656,agkistrodon acutus venom,375,399
en_ner_craft_md,training.abstracts,1000,23199983,lactulose,311,320
en_ner_craft_md,training.abstracts,1000,23232150,promoter,1285,1293
en_ner_craft_md,training.abstracts,1000,23205778,phenol,756,762
en_ner_craft_md,training.abstracts,1000,23234855,cooh,843,847
en_ner_craft_md,training.abstracts,1000,22966070,proteins,409,417
en_ner_craft_md,training.abstracts,1000,23175443,exon,687,691
en_ner_craft_md,training.abstracts,1000,23183183,olgc7,548,553
en_ner_craft_md,training.abstracts,1000,23099645,gene mutation,560,573
en_ner_craft_md,training.abstracts,1000,23153322,iodine,101,107
en_ner_craft_md,training.abstracts,1000,23000449,acetylcholinesterase,0,20
en_ner_craft_md,training.abstracts,1000,22628017,malate,370,376
en_ner_craft_md,training.abstracts,1000,22827894,oximes,128,134
en_ner_craft_md,training.abstracts,1000,23220612,fatty acids,305,316
en_ner_craft_md,training.abstracts,1000,23153057,cyp,88,91
en_ner_craft_md,training.abstracts,1000,23109183,cxcl12,1226,1232
en_ner_craft_md,training.abstracts,1000,23155052,vegfr2,1269,1275
en_ner_craft_md,training.abstracts,1000,23207252,rats,360,364
en_ner_craft_md,training.abstracts,1000,22997060,animals,849,856
en_ner_craft_md,training.abstracts,1000,23234855,ct dna,450,456
en_ner_craft_md,training.abstracts,1000,23071106,tolbutamide,369,380
en_ner_craft_md,training.abstracts,1000,22993196,hepatocytes,1107,1118
en_ner_craft_md,training.abstracts,1000,23063066,replacement,621,632
en_ner_craft_md,training.abstracts,1000,23121767,cells,376,381
en_ner_craft_md,training.abstracts,1000,23142699,cell,924,928
en_ner_craft_md,training.abstracts,1000,23183413,organisms,117,126
en_ner_craft_md,training.abstracts,1000,23219161,mice,1002,1006
en_ner_craft_md,training.abstracts,1000,23000450,bche,1483,1487
en_ner_craft_md,training.abstracts,1000,23206503,aea,527,530
en_ner_craft_md,training.abstracts,1000,22972222,glucose,1447,1454
en_ner_craft_md,training.abstracts,1000,23122137,rats,367,371
en_ner_craft_md,training.abstracts,1000,23122104,peptides,660,668
en_ner_craft_md,training.abstracts,1000,23022398,projections,300,311
en_ner_craft_md,training.abstracts,1000,23008099,human sult1a3,422,435
en_ner_craft_md,training.abstracts,1000,22955948,mammalian,480,489
en_ner_craft_md,training.abstracts,1000,23219339,oxymatrine,0,10
en_ner_craft_md,training.abstracts,1000,22865292,osteoclast,475,485
en_ner_craft_md,training.abstracts,1000,23146838,rats,1265,1269
en_ner_craft_md,training.abstracts,1000,23200887,mitochondria,1373,1385
en_ner_craft_md,training.abstracts,1000,23103426,catalase,1166,1174
en_ner_craft_md,training.abstracts,1000,23121767,binding site,530,542
en_ner_craft_md,training.abstracts,1000,22991412,leptin,497,503
en_ner_craft_md,training.abstracts,1000,23155201,intravenous,557,568
en_ner_craft_md,training.abstracts,1000,23220295,accumbal dopamine,1299,1316
en_ner_craft_md,training.abstracts,1000,23238236,c ,1068,1070
en_ner_craft_md,training.abstracts,1000,23154304,adp,447,450
en_ner_craft_md,training.abstracts,1000,23231350,tubulin,346,353
en_ner_craft_md,training.abstracts,1000,23160964,vdr tg mice,1086,1097
en_ner_craft_md,training.abstracts,1000,23058997,platelet,855,863
en_ner_craft_md,training.abstracts,1000,22914985,enzyme inosine 5 monophosphate dehydrogenase,112,157
en_ner_craft_md,training.abstracts,1000,23161866,papp a,1380,1386
en_ner_craft_md,training.abstracts,1000,23194504,flavonoids,394,404
en_ner_craft_md,training.abstracts,1000,23237546,nanocomplexes,850,863
en_ner_craft_md,training.abstracts,1000,23200005,soluble selenium compounds,305,331
en_ner_craft_md,training.abstracts,1000,23122104,peptides,727,735
en_ner_craft_md,training.abstracts,1000,23122089,protein,198,205
en_ner_craft_md,training.abstracts,1000,22820275,inhibitor,57,66
en_ner_craft_md,training.abstracts,1000,22963619,cells,141,146
en_ner_craft_md,training.abstracts,1000,23124950,silver nanoparticles,175,195
en_ner_craft_md,training.abstracts,1000,22841391,phos p38 map kinase,674,693
en_ner_craft_md,training.abstracts,1000,23238662,insulin,948,955
en_ner_craft_md,training.abstracts,1000,22993196,atgl,1319,1323
en_ner_craft_md,training.abstracts,1000,22258629,toxic substance,1089,1104
en_ner_craft_md,training.abstracts,1000,23183186,mice,1021,1025
en_ner_craft_md,training.abstracts,1000,23201309,mammalian nucleoside diphosphate kinase,423,462
en_ner_craft_md,training.abstracts,1000,22917637,cocaine,85,92
en_ner_craft_md,training.abstracts,1000,23146690,sp1,631,634
en_ner_craft_md,training.abstracts,1000,23135547,inhibitor of,1421,1433
