article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23047024,oxime k048,369,379,67,23047024,oxime,67,369,374,en_ner_craft_md,1000
22420410,amino acid,479,489,100,22420410,amino acid,100,479,489,en_ner_craft_md,1000
23220560,mehg,48,52,100,23220560,mehg,100,48,52,en_ner_craft_md,1000
23122169,graciliflorin f,309,324,100,23122169,graciliflorin f,100,309,324,en_ner_craft_md,1000
22982773,phosphate,1661,1670,100,22982773,phosphate,100,1661,1670,en_ner_craft_md,1000
22469988,atp,198,201,100,22469988,atp,100,198,201,en_ner_craft_md,1000
23122089,sugars,379,385,100,23122089,sugars,100,379,385,en_ner_craft_md,1000
23122068,sulforaphene,851,863,100,23122068,sulforaphene,100,851,863,en_ner_craft_md,1000
23146871,mn,371,373,100,23146871,mn,100,371,373,en_ner_craft_md,1000
22954532,tungsten carbide,141,157,100,22954532,tungsten carbide,100,141,157,en_ner_craft_md,1000
23199983,lactulose,311,320,100,23199983,lactulose,100,311,320,en_ner_craft_md,1000
23205778,phenol,756,762,100,23205778,phenol,100,756,762,en_ner_craft_md,1000
23234855,cooh,843,847,100,23234855,cooh,100,843,847,en_ner_craft_md,1000
23153322,iodine,101,107,22,23153322,rai,22,109,112,en_ner_craft_md,1000
22628017,malate,370,376,100,22628017,malate,100,370,376,en_ner_craft_md,1000
22827894,oximes,128,134,100,22827894,oximes,100,128,134,en_ner_craft_md,1000
23071106,tolbutamide,369,380,100,23071106,tolbutamide,100,369,380,en_ner_craft_md,1000
23206503,aea,527,530,100,23206503,aea,100,527,530,en_ner_craft_md,1000
22972222,glucose,1447,1454,100,22972222,glucose,100,1447,1454,en_ner_craft_md,1000
23219339,oxymatrine,0,10,100,23219339,oxymatrine,100,0,10,en_ner_craft_md,1000
23220295,accumbal dopamine,1299,1316,64,23220295,dopamine,64,1308,1316,en_ner_craft_md,1000
23154304,adp,447,450,100,23154304,adp,100,447,450,en_ner_craft_md,1000
23194504,flavonoids,394,404,100,23194504,flavonoids,100,394,404,en_ner_craft_md,1000
23200005,soluble selenium compounds,305,331,47,23200005,selenium,47,313,321,en_ner_craft_md,1000
23201309,mammalian nucleoside diphosphate kinase,423,462,72,23201309,nucleoside diphosphate,72,433,455,en_ner_craft_md,1000
22917637,cocaine,85,92,100,22917637,cocaine,100,85,92,en_ner_craft_md,1000
23160092,alcohol,863,870,100,23160092,alcohol,100,863,870,en_ner_craft_md,1000
23201451,moniliformin,0,12,100,23201451,moniliformin,100,0,12,en_ner_craft_md,1000
23192982,cholesterol,913,924,100,23192982,cholesterol,100,913,924,en_ner_craft_md,1000
22623520,taurine,914,921,100,22623520,taurine,100,914,921,en_ner_craft_md,1000
22867274,nadph,856,861,100,22867274,nadph,100,856,861,en_ner_craft_md,1000
23219590,maprotiline,1065,1076,100,23219590,maprotiline,100,1065,1076,en_ner_craft_md,1000
23209192,cotinine,489,497,100,23209192,cotinine,100,489,497,en_ner_craft_md,1000
