Model,Data section,Article Count,Article ID,Entity,Start,End
en_ner_jnlpba_md,training.abstracts,1000,23132743,vdr,1423,1426
en_ner_jnlpba_md,training.abstracts,1000,22733134,shrna constructs,656,672
en_ner_jnlpba_md,training.abstracts,1000,23063593,pi3k,1138,1142
en_ner_jnlpba_md,training.abstracts,1000,23225780,cox,64,67
en_ner_jnlpba_md,training.abstracts,1000,23219590,jnk associated caspase 3,1030,1054
en_ner_jnlpba_md,training.abstracts,1000,23159790,ves a 1 gene,914,926
en_ner_jnlpba_md,training.abstracts,1000,23201124,proapoptotic proteins,88,109
en_ner_jnlpba_md,training.abstracts,1000,23111883,platelets,790,799
en_ner_jnlpba_md,training.abstracts,1000,23211525,primary human hepatocytes,910,935
en_ner_jnlpba_md,training.abstracts,1000,23147416,opioid ligands,1573,1587
en_ner_jnlpba_md,training.abstracts,1000,23155052,vegfr2,363,369
en_ner_jnlpba_md,training.abstracts,1000,23159396,hepatocytes,1672,1683
en_ner_jnlpba_md,training.abstracts,1000,23115324,acetylated histone residues,234,261
en_ner_jnlpba_md,training.abstracts,1000,23076553,n atom,1717,1723
en_ner_jnlpba_md,training.abstracts,1000,22936177,cd8 t cells,146,157
en_ner_jnlpba_md,training.abstracts,1000,23209192,cyp1b1 mrna,1540,1551
en_ner_jnlpba_md,training.abstracts,1000,23222849,nf1,1268,1271
en_ner_jnlpba_md,training.abstracts,1000,23228475,ahr targeted gene,643,660
en_ner_jnlpba_md,training.abstracts,1000,23121767,ae2,1012,1015
en_ner_jnlpba_md,training.abstracts,1000,22349814,human monoglyceride lipase,0,26
en_ner_jnlpba_md,training.abstracts,1000,23146694,mb cells,1213,1221
en_ner_jnlpba_md,training.abstracts,1000,23092877,gh receptors,604,616
en_ner_jnlpba_md,training.abstracts,1000,22993196,primary hepatocytes,520,539
en_ner_jnlpba_md,training.abstracts,1000,23099337,sod,455,458
en_ner_jnlpba_md,training.abstracts,1000,22641218,tumor necrosis factor alpha,1503,1530
en_ner_jnlpba_md,training.abstracts,1000,23200901,bcrp mdckii cells,1091,1108
en_ner_jnlpba_md,training.abstracts,1000,23233456,dnase i,763,770
en_ner_jnlpba_md,training.abstracts,1000,22736593,ugt2b7,504,510
en_ner_jnlpba_md,training.abstracts,1000,23042808,cannabis products,37,54
en_ner_jnlpba_md,training.abstracts,1000,23230131,enzymes,174,181
en_ner_jnlpba_md,training.abstracts,1000,23219946,human cortical bone,1299,1318
en_ner_jnlpba_md,training.abstracts,1000,23201331,cultured human mg 63 cells,1233,1259
en_ner_jnlpba_md,training.abstracts,1000,23161217,lpg,826,829
en_ner_jnlpba_md,training.abstracts,1000,22972179,tsc2,1006,1010
en_ner_jnlpba_md,training.abstracts,1000,23139413,ecl2,1094,1098
en_ner_jnlpba_md,training.abstracts,1000,23085994,hemidesmosome proteins,1046,1068
en_ner_jnlpba_md,training.abstracts,1000,23200246,il 6,751,755
en_ner_jnlpba_md,training.abstracts,1000,22080035,superoxide dismutase,1002,1022
en_ner_jnlpba_md,training.abstracts,1000,23146694,mapk,828,832
en_ner_jnlpba_md,training.abstracts,1000,23180826,liver cancer cell line hepg2,376,404
en_ner_jnlpba_md,training.abstracts,1000,22546616,emission tomography,413,432
en_ner_jnlpba_md,training.abstracts,1000,23201331,rat osteoblasts,931,946
en_ner_jnlpba_md,training.abstracts,1000,23041538,a 2a r dependent,1565,1581
en_ner_jnlpba_md,training.abstracts,1000,23223641,rzeo 2,323,329
en_ner_jnlpba_md,training.abstracts,1000,23115325,smooth muscle cells,408,427
en_ner_jnlpba_md,training.abstracts,1000,23000250,tfts,21,25
en_ner_jnlpba_md,training.abstracts,1000,22968089,mglur2 3,460,468
en_ner_jnlpba_md,training.abstracts,1000,23194525,iec18,575,580
en_ner_jnlpba_md,training.abstracts,1000,23219339,omt,1087,1090
en_ner_jnlpba_md,training.abstracts,1000,23153456,epithelial cells,339,355
en_ner_jnlpba_md,training.abstracts,1000,23193276,possible protein coding genes,496,525
en_ner_jnlpba_md,training.abstracts,1000,23063590,microphthalmia associated transcription factor,377,423
en_ner_jnlpba_md,training.abstracts,1000,23118019,κ antagonists pa 2 7 43,1067,1092
en_ner_jnlpba_md,training.abstracts,1000,23201124,iap substrates,160,174
en_ner_jnlpba_md,training.abstracts,1000,23197771,inflammatory mediators,1351,1373
en_ner_jnlpba_md,training.abstracts,1000,23211525,rorγ,1135,1139
en_ner_jnlpba_md,training.abstracts,1000,23161217,lpg,1229,1232
en_ner_jnlpba_md,training.abstracts,1000,22991412,adipokines factors,135,154
en_ner_jnlpba_md,training.abstracts,1000,23180826,versican 3 utr,807,822
en_ner_jnlpba_md,training.abstracts,1000,22872607,smokers pbls,1247,1260
en_ner_jnlpba_md,training.abstracts,1000,23063593,her,977,980
en_ner_jnlpba_md,training.abstracts,1000,23228475,phosphorylated extracellular signal regulated kinase,1393,1445
en_ner_jnlpba_md,training.abstracts,1000,23080539,human telomerase ,957,975
en_ner_jnlpba_md,training.abstracts,1000,23190172,erα,1282,1285
en_ner_jnlpba_md,training.abstracts,1000,23184951,rig i like receptor family,66,92
en_ner_jnlpba_md,training.abstracts,1000,23178182,psd 95,284,290
en_ner_jnlpba_md,training.abstracts,1000,23245697,pol,723,726
en_ner_jnlpba_md,training.abstracts,1000,23159666,cd71,424,428
