article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end,Model,Article Count
23076553,n atom,1717,1723,29,23076553,n,29,1717,1718,en_ner_jnlpba_md,1000
22349814,human monoglyceride lipase,0,26,67,22349814,monoglyceride,67,6,19,en_ner_jnlpba_md,1000
22080035,superoxide dismutase,1002,1022,67,22080035,superoxide,67,1002,1012,en_ner_jnlpba_md,1000
23219339,omt,1087,1090,100,23219339,omt,100,1087,1090,en_ner_jnlpba_md,1000
23063593,her,977,980,100,23063593,her,100,977,980,en_ner_jnlpba_md,1000
23247009,bgg,916,919,100,23247009,bgg,100,916,919,en_ner_jnlpba_md,1000
22849972,insulin,872,879,14,22849972,glucose,14,863,870,en_ner_jnlpba_md,1000
23010362, reboxetine,812,826,100,23010362, reboxetine,100,812,826,en_ner_jnlpba_md,1000
23184251,diphosphoinositol polyphosphates,1297,1329,100,23184251,diphosphoinositol polyphosphates,100,1297,1329,en_ner_jnlpba_md,1000
23147837,bde 99,922,928,100,23147837,bde 99,100,922,928,en_ner_jnlpba_md,1000
23123743,estrogen receptors,67,85,62,23123743,estrogen,62,67,75,en_ner_jnlpba_md,1000
23220612,gluthathione reductase,891,913,71,23220612,gluthathione,71,891,903,en_ner_jnlpba_md,1000
23214714,pycooh 0 product,1854,1871,72,23214714,pycooh 0 ,72,1854,1863,en_ner_jnlpba_md,1000
23063593,her,516,519,100,23063593,her,100,516,519,en_ner_jnlpba_md,1000
23030346,si shell,1079,1087,40,23030346,si,40,1079,1081,en_ner_jnlpba_md,1000
23183413,copper,2543,2549,100,23183413,copper,100,2543,2549,en_ner_jnlpba_md,1000
22670797,qnt3 18,786,793,100,22670797,qnt3 18,100,786,793,en_ner_jnlpba_md,1000
22889612,rvt,602,605,100,22889612,rvt,100,602,605,en_ner_jnlpba_md,1000
23115119,carboxylic acid moieties,142,166,77,23115119,carboxylic acid,77,142,157,en_ner_jnlpba_md,1000
23041510,2β hydroxypropyloxy,22,41,100,23041510,2β hydroxypropyloxy,100,22,41,en_ner_jnlpba_md,1000
23184251,idp,1281,1284,100,23184251,idp,100,1281,1284,en_ner_jnlpba_md,1000
